fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,1,1,0,64,8,1024,126794.8
1,0,0,0,1,256,8,1024,135761.2
0,0,1,1,0,64,32,256,46700.8
1,0,0,0,0,128,8,1024,130750.8
0,0,0,0,1,64,8,1024,46184.4
0,1,0,0,1,256,2,1024,46142.2
0,0,0,0,1,128,2,256,47198.6
1,0,1,0,0,256,8,1024,138245.2
1,0,1,1,1,128,8,1024,139292.8
0,0,0,1,0,128,32,256,46457.2
1,1,1,1,0,128,2,256,128216.6
0,0,1,1,0,128,8,4096,46503.2
0,1,0,0,1,256,32,1024,46191.2
1,1,1,1,1,64,8,256,131856.0
0,0,0,0,1,256,32,4096,46070.8
0,0,1,1,0,128,2,4096,46450.2
1,0,1,0,1,128,32,1024,140847.2
0,0,1,0,1,64,2,256,46268.8
0,1,1,1,0,128,32,1024,46795.6
0,0,1,0,0,256,32,1024,46212.8
0,0,0,1,1,256,32,256,47443.6
0,0,0,1,1,128,32,256,46408.2
1,1,1,1,0,128,2,1024,128922.6
0,1,1,0,1,64,2,1024,46614.4
0,0,1,1,0,128,2,256,46483.8
0,0,1,1,0,64,2,4096,46806.8
0,0,0,0,0,128,32,256,46255.0
0,0,1,1,0,128,32,256,46471.0
0,0,0,0,1,64,32,1024,46172.2
0,1,1,1,0,256,32,256,46431.0
0,0,0,1,0,128,8,4096,46352.2
0,0,0,0,0,128,32,256,46255.0
0,0,0,0,0,64,32,1024,46298.4
0,0,0,0,0,256,32,1024,46256.6
0,0,0,1,0,256,32,1024,46419.0
0,1,1,1,0,128,32,256,46666.8
0,0,0,0,1,64,8,1024,46184.4
0,0,0,0,1,256,32,4096,46070.8
0,1,0,0,1,256,8,1024,46358.2
0,0,0,0,1,256,32,4096,46070.8
0,0,0,0,1,256,2,256,46214.2
0,0,0,0,1,128,32,256,46035.0
0,0,1,0,1,64,32,1024,46132.6
1,0,0,0,1,256,32,1024,139426.0
0,0,0,0,1,64,8,1024,46184.4
0,0,1,0,1,64,32,1024,46132.6
0,0,0,0,1,64,8,1024,46184.4
0,0,1,0,1,256,2,256,46342.0
0,0,1,0,1,64,8,1024,47386.4
0,0,1,0,1,256,2,256,46342.0
0,0,0,0,1,128,32,256,46035.0
0,0,0,0,1,64,32,1024,46172.2
0,1,0,0,1,128,2,256,47040.2
0,0,0,1,1,128,32,4096,46343.6
0,0,0,0,1,256,32,4096,46070.8
0,0,1,0,1,64,32,256,46132.4
0,1,0,0,1,128,32,1024,46405.0
0,0,0,0,1,64,32,4096,46073.6
0,0,0,0,1,64,8,4096,46327.8
0,0,1,0,1,128,32,4096,46408.8
1,0,0,0,1,128,32,256,133749.4
0,0,0,0,1,64,32,256,46295.4
0,0,0,0,1,64,32,4096,46073.6
0,0,1,0,1,256,32,256,46282.0
0,0,0,0,1,128,32,4096,46304.6
1,0,0,0,1,128,32,256,133749.4
0,0,0,0,1,128,32,256,46035.0
0,1,0,0,1,256,2,4096,46310.8
0,0,1,0,1,128,32,256,46260.2
0,0,0,0,1,64,32,1024,46172.2
0,0,0,0,1,64,32,4096,46073.6
0,0,0,0,1,64,32,1024,46172.2
0,1,0,0,1,64,32,4096,46295.6
0,0,0,0,1,64,32,1024,46172.2
0,0,1,0,1,64,32,1024,46132.6
0,0,0,0,1,256,32,4096,46070.8
0,0,1,0,1,128,32,4096,46408.8
0,0,0,0,1,64,32,256,46295.4
0,0,0,0,1,256,32,256,46294.8
0,0,1,0,1,64,32,1024,46132.6
0,1,0,0,1,128,8,256,46673.2
0,0,0,0,1,128,32,256,46035.0
0,0,0,0,1,256,32,4096,46070.8
0,0,0,0,0,256,32,4096,46042.4
0,0,0,0,1,256,32,4096,46070.8
0,0,0,0,0,256,32,4096,46042.4
0,0,0,0,1,128,32,256,46035.0
0,0,1,0,1,128,32,256,46260.2
0,0,0,0,1,64,32,256,46295.4
0,0,0,0,1,256,32,4096,46070.8
0,0,0,0,1,128,8,256,46184.2
0,0,0,0,1,256,32,256,46294.8
0,0,0,1,1,128,32,256,46408.2
0,0,0,1,1,256,32,256,47443.6
0,0,0,0,1,256,32,4096,46070.8
0,0,1,0,0,256,32,4096,46148.2
0,0,0,0,0,128,32,4096,46476.2
0,0,0,0,0,256,32,256,46275.0
0,1,0,0,1,256,32,4096,46104.2
0,0,0,1,1,256,32,4096,46507.4
