ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,64835.0
1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,73154.2
0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,74159.6
1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,88669.0
1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,77315.6
0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,71949.6
1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,88096.8
0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,81749.0
1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,71932.6
1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,75335.0
1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,87963.2
0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,76863.4
0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,82729.8
0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,62193.0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,66823.2
1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,82626.0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,67050.0
0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,86192.0
0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,91623.8
1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,89568.0
1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,83714.6
1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,76862.8
0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,91830.0
0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,73812.2
1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,79535.4
1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,73506.2
1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,79347.4
1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,83907.6
0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,74576.2
0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,69719.4
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,62809.8
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,81466.0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,66821.6
0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,92510.0
1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,78417.8
1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,91669.2
0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,87831.2
0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,77399.2
1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,79586.0
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,82442.6
0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,74804.6
0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,92656.0
0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,88525.0
1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,82315.0
0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,64747.6
0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,78332.8
0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,86147.6
1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,76708.2
1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,79712.6
1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,91405.2
0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,71854.0
1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,82017.2
1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,59803.0
1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,82486.2
1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,72549.0
1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,75320.8
0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,72694.2
1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,72982.2
1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,77110.6
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,72650.8
1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,83661.4
0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,85438.0
0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,70773.0
1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,76799.4
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,66155.6
