new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,3,3,1,0,1,1,0,0,1,173.74
4,2,1,0,0,0,1,1,1,0,33.536
2,3,3,0,1,0,0,0,1,0,75.59
4,1,2,1,0,0,0,1,0,1,23.72
2,2,1,0,1,0,0,1,0,1,70.69
3,1,2,0,1,1,0,0,0,1,31.178
4,3,2,1,1,1,1,1,1,1,43.26
2,2,2,0,1,0,0,1,1,0,62.17
2,3,3,0,1,0,0,0,0,0,87.47
4,1,1,0,0,1,0,0,1,0,23.478
1,1,3,1,1,1,0,1,0,0,86.272
3,2,2,1,1,1,1,0,0,1,46.988
1,1,1,0,1,0,0,1,1,1,93.186
4,1,3,0,1,1,0,1,1,0,24.598
4,1,2,0,1,1,1,1,0,0,24.902
2,1,1,1,0,1,1,1,1,1,47.34
4,3,1,0,1,0,0,1,0,0,48.79
3,3,2,1,0,1,0,0,0,0,59.02
1,3,2,1,0,1,0,0,1,1,137.48
2,3,3,1,0,1,1,0,0,1,93.232
4,3,2,0,0,1,1,0,1,0,43.276
4,3,2,1,1,0,1,1,1,1,42.696
3,3,2,1,0,1,1,0,0,1,66.962
1,1,2,1,1,0,1,1,0,0,86.828
4,2,2,1,0,1,1,0,1,0,30.974
2,1,2,0,1,1,0,0,0,0,45.188
4,3,2,1,0,1,1,1,1,1,43.22
1,3,3,0,1,0,0,1,0,1,180.666
2,2,3,1,0,0,0,1,1,1,59.71
1,3,2,0,0,0,0,0,1,0,142.6
2,1,1,0,1,0,0,0,0,0,44.62
3,2,3,1,1,1,1,1,0,1,50.268
2,3,3,1,1,0,1,0,1,0,80.926
2,2,3,0,0,1,1,0,0,0,70.888
2,1,3,1,0,1,0,0,0,1,43.918
4,3,1,0,0,1,0,1,1,1,41.082
1,3,1,1,1,1,1,0,0,0,170.516
4,1,2,0,0,1,0,1,1,1,25.342
2,3,3,1,1,0,0,0,1,0,72.618
3,1,2,1,1,0,1,1,1,0,31.14
4,2,3,0,0,0,0,1,0,1,36.574
1,3,3,1,1,0,0,0,0,0,156.802
3,2,1,0,1,1,0,1,1,1,42.624
3,1,1,1,1,0,1,1,0,1,31.29
2,3,1,1,0,1,1,0,0,0,92.544
1,2,2,1,0,0,0,0,1,0,105.398
4,1,1,1,1,1,0,0,1,0,21.698
1,3,2,1,1,1,1,1,1,1,157.898
3,2,2,1,1,1,1,1,1,0,43.26
1,2,2,0,1,0,1,1,0,0,139.71
1,1,2,1,1,1,0,1,0,1,86.594
1,3,2,1,0,0,1,0,0,1,172.44
3,1,3,1,0,1,1,1,0,0,31.88
2,1,2,0,0,0,0,1,0,0,49.612
1,2,2,1,1,1,0,0,1,1,103.448
4,1,1,1,1,0,1,0,1,1,21.772
1,3,1,0,1,1,0,0,0,1,163.584
2,1,2,0,1,1,0,1,1,0,49.102
4,3,3,1,1,0,0,0,1,1,37.83
2,2,3,0,1,1,1,0,0,1,69.82
3,2,1,0,0,0,0,0,1,0,39.724
1,1,3,0,0,0,0,0,1,1,86.616
2,3,2,0,1,1,0,0,1,0,74.952
2,1,1,1,0,1,0,0,1,1,42.918
4,3,2,0,0,1,0,1,1,1,41.132
4,2,2,0,1,1,0,1,0,0,35.874
3,1,3,1,1,0,1,0,1,0,30.37
3,1,1,0,0,1,0,1,1,1,33.928
4,1,1,0,1,1,1,0,0,1,23.206
3,1,1,0,1,1,0,1,1,0,33.332
4,1,1,0,0,0,1,1,1,0,25.422
2,2,3,1,0,1,1,1,0,0,71.35
4,2,3,1,1,0,0,0,1,1,29.14
4,1,1,1,1,0,1,0,1,1,21.772
2,3,1,0,1,1,1,0,0,1,95.76
2,2,3,1,0,0,0,1,1,0,59.454
2,2,1,1,1,0,1,1,0,0,70.472
2,1,1,0,0,0,1,0,0,0,45.952
4,1,2,0,1,0,0,0,0,0,24.508
4,3,1,1,1,0,0,1,0,0,46.31
1,3,1,1,0,0,0,0,1,0,137.304
4,2,1,1,0,0,0,0,0,1,31.72
4,2,3,0,0,1,1,1,0,1,38.776
2,3,2,0,0,0,0,1,0,0,96.118
2,3,2,1,0,1,1,1,1,0,84.89
2,3,3,0,0,0,0,1,1,1,80.826
4,2,3,0,0,1,0,1,1,0,31.58
4,3,2,0,0,1,1,1,1,0,44.462
4,2,2,1,0,1,1,1,1,0,31.878
3,1,2,0,0,1,0,0,0,1,31.814
4,2,1,1,0,1,1,1,0,0,36.338
3,1,2,0,0,1,1,1,0,1,34.214
1,1,3,1,1,1,1,1,1,1,87.206
3,3,3,1,0,0,0,0,0,1,58.88
4,3,1,0,1,0,1,1,1,0,44.536
4,2,1,0,0,0,1,0,1,0,31.766
4,2,3,0,0,0,0,1,1,1,31.748
2,3,1,0,0,0,0,1,1,0,80.57
4,1,2,0,0,0,0,1,0,0,25.16
2,3,2,1,1,1,0,0,0,1,83.222
