new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,2,1,0,0,0,1,1,1,0,66.55
4,1,2,0,1,1,1,0,1,0,24.09
4,1,1,0,1,0,1,1,1,1,25.272
2,1,3,1,0,0,0,1,1,0,46.918
1,2,1,0,1,1,0,0,1,1,108.268
1,2,2,1,1,1,0,1,1,0,111.596
1,1,3,0,1,1,1,1,1,0,93.538
1,3,1,1,1,0,1,1,1,1,158.084
2,3,3,0,1,1,0,0,0,1,87.614
1,3,1,0,0,1,1,0,1,0,155.746
2,2,2,0,1,0,1,0,1,0,62.566
3,2,2,1,1,0,1,1,0,0,50.454
2,1,3,0,0,0,1,1,1,1,50.566
3,2,2,1,1,0,0,1,0,1,46.254
2,1,2,1,1,1,0,0,1,0,42.708
1,2,2,0,1,1,1,0,1,0,116.47
3,2,3,0,0,1,0,1,0,0,50.032
1,2,2,1,1,1,1,0,0,1,123.274
1,1,3,1,1,1,0,0,1,0,79.768
2,3,1,1,1,0,1,1,1,0,83.95
2,1,2,1,0,1,1,0,1,0,43.96
1,2,3,0,0,0,0,1,0,0,134.716
3,3,3,0,0,0,0,0,1,1,52.246
4,3,2,0,0,1,1,1,0,0,53.286
2,3,2,0,1,1,0,0,1,0,74.952
3,3,2,0,1,0,0,0,0,1,60.682
1,1,1,1,0,1,1,0,1,0,81.566
3,1,2,0,1,0,0,0,0,1,31.104
2,3,1,0,0,0,1,0,1,1,83.59
1,1,1,0,1,1,0,1,1,0,92.812
1,2,3,0,1,0,1,1,0,0,139.548
2,2,1,1,0,0,0,1,0,1,67.79
4,3,3,1,0,0,0,0,0,1,43.952
1,2,2,1,0,0,1,1,1,1,119.458
3,2,2,0,0,1,1,0,0,0,50.756
2,1,1,1,1,0,0,1,1,0,45.748
3,3,2,1,0,1,0,0,1,1,50.136
3,1,2,1,0,0,0,1,1,0,31.656
1,2,2,1,1,1,0,1,1,0,111.596
4,2,1,1,0,0,1,1,0,0,35.894
4,3,1,1,1,0,0,0,1,1,36.978
3,1,1,1,1,1,0,0,1,1,28.656
1,2,1,0,1,0,0,1,1,0,118.392
2,3,2,0,1,0,0,1,1,0,79.956
2,2,3,0,1,0,1,0,1,1,62.898
4,1,2,1,1,1,1,1,0,1,23.408
4,2,1,1,0,1,0,0,1,0,28.458
2,1,3,1,1,1,0,1,1,1,45.874
2,2,1,0,0,1,1,0,1,0,62.098
3,3,2,1,1,1,1,1,1,0,58.854
3,3,2,1,1,1,0,0,0,1,58.122
3,2,2,0,1,0,1,1,1,1,45.824
2,1,3,1,0,0,1,1,1,1,47.652
2,1,3,1,0,1,1,1,1,1,47.492
2,2,2,0,1,1,1,1,0,0,74.744
1,3,3,0,1,0,1,0,0,1,178.818
4,2,2,1,1,0,0,1,0,0,33.82
1,2,3,0,1,0,0,1,1,0,118.192
3,3,3,0,0,0,1,1,0,0,75.462
2,1,1,0,1,1,1,1,0,0,49.426
2,3,2,1,1,0,0,1,1,1,76.806
3,1,1,0,0,1,1,1,0,1,34.136
4,2,1,0,1,0,0,1,0,1,36.242
4,3,3,1,1,1,0,0,1,0,38.178
3,3,1,0,0,0,0,0,0,0,61.63
4,1,2,1,0,0,0,0,0,0,22.874
4,1,2,0,0,1,1,0,1,0,24.594
3,3,3,1,1,0,0,0,1,0,50.196
3,2,1,1,1,0,1,1,0,1,50.05
1,1,2,0,0,1,1,0,0,0,87.072
1,1,2,0,0,1,1,1,0,1,95.602
3,1,1,1,1,1,1,0,1,1,28.938
3,3,1,1,1,1,0,1,0,1,63.514
4,3,1,1,1,1,1,0,1,1,40.79
3,2,3,1,0,1,1,1,0,0,51.006
3,1,2,1,0,0,1,1,0,0,32.018
3,2,2,0,1,0,1,0,0,0,49.738
1,3,2,0,0,0,0,0,0,1,166.0
1,1,3,1,0,1,1,1,1,0,89.06
3,1,3,0,1,0,0,1,0,1,33.34
1,3,1,1,0,0,1,1,1,0,158.85
1,2,1,0,0,1,0,0,0,0,122.898
1,2,2,1,1,0,1,0,0,0,122.508
1,2,2,0,0,1,1,1,1,0,124.934
3,1,3,0,0,0,1,0,1,0,33.078
2,1,2,0,1,1,0,0,1,0,45.218
2,1,3,1,1,1,0,0,1,0,43.522
3,1,3,0,1,1,0,1,0,0,33.288
4,2,3,0,0,1,0,1,1,1,31.996
1,3,1,0,0,1,0,1,1,0,153.344
4,3,3,1,0,0,0,1,0,1,47.004
3,1,1,0,0,0,0,0,1,1,31.096
2,3,3,1,0,1,0,1,1,0,77.16
2,3,1,1,1,0,0,0,1,0,71.694
1,3,2,0,1,0,0,0,1,0,141.914
2,3,2,0,1,0,0,0,0,0,86.902
3,3,1,0,0,1,1,1,1,1,61.73
3,3,1,1,1,0,1,0,1,0,56.224
1,1,1,0,0,0,0,0,0,0,85.27
4,2,3,0,1,0,0,0,1,1,30.716
