new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,1,0,1,1,512,1,166.5828
1,0,2,1,0,1,512,9,337.4748
0,0,1,1,0,0,2048,0,337.4748
0,0,1,0,0,0,512,1,337.4748
1,2,1,1,0,1,2048,0,337.4748
1,1,2,0,0,1,512,0,31.2796
1,0,2,0,0,1,2048,5,337.4748
1,1,2,1,0,1,512,1,337.4748
1,1,1,1,0,0,2048,1,337.4748
0,1,2,1,0,1,1024,9,337.4748
0,1,2,2,1,0,512,5,337.4748
1,0,1,0,1,1,4096,5,337.4748
1,2,1,0,0,1,1024,5,167.4358
0,1,2,1,0,0,4096,5,337.4748
0,0,2,1,0,1,2048,1,337.4748
1,0,1,1,1,0,1024,0,337.4748
1,0,2,2,1,1,4096,5,337.4748
1,1,2,2,0,0,512,1,337.4748
0,2,2,1,0,0,512,5,163.7756
1,0,1,2,0,0,512,5,337.4748
0,0,1,1,1,1,2048,1,337.4748
0,1,1,1,1,0,1024,1,337.4748
0,2,1,0,1,0,4096,5,166.2052
0,0,1,2,1,1,1024,0,337.4748
1,1,2,2,0,0,512,0,32.0308
0,1,2,1,1,1,1024,0,32.4414
1,0,2,2,1,0,1024,1,337.4748
1,0,2,2,1,0,4096,0,167.6958
1,0,1,0,0,1,2048,9,337.4748
0,2,1,0,1,1,4096,0,337.4748
0,1,2,2,0,0,4096,0,31.4676
1,2,1,2,1,0,4096,9,337.4748
0,2,1,1,1,0,1024,5,337.4748
1,2,2,1,1,0,1024,1,163.8996
1,0,1,0,1,0,2048,5,337.4748
1,0,1,0,0,0,512,0,167.7768
0,0,2,1,1,1,512,9,337.4748
0,0,2,0,1,0,2048,0,163.7926
0,2,1,2,1,1,1024,9,337.4748
1,1,1,2,0,1,4096,1,337.4748
1,2,1,0,0,1,4096,5,165.9954
1,0,2,0,0,1,512,5,337.4748
0,2,2,0,0,1,4096,9,167.1964
0,2,1,2,1,1,4096,9,337.4748
1,1,1,2,1,1,1024,0,337.4748
1,1,2,0,0,1,4096,1,337.4748
0,0,2,1,0,1,2048,9,337.4748
0,2,1,0,0,1,512,9,165.847
0,1,1,2,1,0,2048,5,337.4748
1,1,2,2,0,0,4096,5,337.4748
1,0,2,1,0,1,1024,9,337.4748
0,0,1,0,1,1,2048,9,337.4748
1,1,1,1,0,1,2048,1,337.4748
1,2,1,0,0,0,2048,5,166.5024
0,2,1,0,1,0,512,1,165.6704
0,2,2,1,1,1,512,1,166.9158
0,2,1,1,1,1,4096,1,337.4748
0,2,1,2,1,1,2048,5,337.4748
1,2,1,2,0,0,1024,9,337.4748
1,1,2,1,1,0,1024,5,337.4748
1,1,1,0,0,0,4096,9,337.4748
0,2,2,1,1,1,2048,1,166.2642
0,1,2,0,0,0,4096,1,337.4748
1,1,1,0,1,0,512,1,337.4748
1,2,1,2,0,1,512,0,337.4748
0,1,1,1,1,1,1024,9,337.4748
0,0,2,1,1,0,512,0,165.6874
0,2,1,2,1,1,4096,5,337.4748
1,1,1,0,0,0,512,0,32.4742
1,1,2,2,1,0,4096,1,337.4748
1,1,2,2,0,0,512,0,32.0308
0,1,1,1,1,1,2048,1,337.4748
1,0,2,1,1,1,512,5,337.4748
0,0,2,1,1,1,1024,9,337.4748
0,0,2,1,0,0,512,9,337.4748
1,2,2,0,0,0,1024,0,337.4748
1,0,2,2,1,1,4096,5,337.4748
1,1,2,2,0,1,4096,5,337.4748
0,0,1,0,0,1,1024,0,167.3634
0,2,2,0,1,1,512,9,164.6706
0,0,2,2,1,1,512,5,337.4748
1,2,1,2,1,1,512,1,337.4748
0,1,1,1,0,0,2048,9,337.4748
1,2,1,0,0,0,512,1,166.3008
1,0,2,0,0,0,512,0,164.1818
1,1,2,2,0,0,512,1,337.4748
0,1,2,2,0,0,512,1,337.4748
1,1,1,0,1,0,1024,0,31.9774
0,1,2,2,0,1,512,0,31.6628
0,2,2,0,1,1,4096,5,165.733
0,0,2,2,1,1,4096,0,165.2914
1,1,1,2,0,1,512,1,337.4748
0,1,2,1,0,1,1024,1,337.4748
1,1,2,1,0,1,1024,0,32.517
0,1,2,1,1,0,2048,0,31.9244
1,1,2,0,0,0,4096,5,337.4748
0,1,2,1,1,0,4096,1,337.4748
1,2,1,0,0,0,1024,9,166.3772
0,0,1,0,0,0,2048,5,337.4748
0,0,1,2,0,1,2048,0,337.4748
