WindowSize,CompressionLevel,Performance
13,4,2.972
13,8,5.62
13,10,313.652
13,5,4.128
13,4,2.972
16,4,2.77
16,2,2.026
16,3,2.508
16,8,7.548
16,4,2.77
16,0,1.59
16,6,5.77
22,0,1.596
22,6,10.266
22,4,2.748
20,0,1.63
20,6,10.658
21,0,1.604
24,0,1.574
17,0,1.606
17,7,7.636
17,8,8.454
21,0,1.604
21,3,2.512
21,10,244.734
21,10,244.734
21,6,10.46
23,3,2.478
23,2,2.032
19,2,2.1
19,5,7.372
19,4,2.8
19,9,14.048
14,4,2.894
14,8,6.086
16,4,2.77
10,4,3.02
10,0,1.662
10,3,2.616
16,0,1.59
12,0,1.528
17,0,1.606
17,3,2.564
14,0,1.472
13,0,1.514
14,0,1.472
10,0,1.662
10,4,3.02
10,2,2.146
10,3,2.616
10,9,6.246
19,0,1.614
19,5,7.372
19,3,2.552
18,0,1.628
18,6,7.51
23,0,1.556
12,0,1.528
16,0,1.59
12,0,1.528
12,11,328.552
16,0,1.59
16,5,5.392
16,11,284.296
19,0,1.614
19,4,2.8
19,4,2.8
16,0,1.59
16,3,2.508
12,0,1.528
12,3,2.426
22,0,1.596
22,7,19.626
15,0,1.534
15,3,2.392
15,3,2.392
15,9,8.084
19,0,1.614
15,5,5.072
12,0,1.528
12,11,328.552
19,0,1.614
21,0,1.604
21,10,244.734
16,0,1.59
16,4,2.77
16,1,1.598
16,9,9.094
10,1,1.666
12,1,1.542
18,1,1.63
17,1,1.612
17,5,5.886
15,1,1.52
19,1,1.604
15,7,6.39
15,0,1.534
15,5,5.072
15,3,2.392
