WindowSize,CompressionLevel,Performance
12,11,328.552
20,11,246.08
23,11,315.238
20,9,17.4
20,3,2.546
23,3,2.478
14,3,2.302
14,7,5.896
20,7,12.338
20,11,246.08
22,7,19.626
22,0,1.596
22,1,1.586
22,2,2.05
22,4,2.748
13,4,2.972
21,4,2.768
11,4,3.04
21,4,2.768
16,4,2.77
16,5,5.392
20,5,7.45
20,1,1.636
19,1,1.604
16,1,1.598
11,1,1.526
11,11,343.996
17,1,1.612
17,2,2.102
21,2,2.06
17,2,2.102
19,2,2.1
12,2,1.988
12,4,3.004
21,4,2.768
12,4,3.004
12,6,3.846
12,11,328.552
12,11,328.552
16,6,5.77
23,6,10.22
23,1,1.572
23,7,20.474
20,1,1.636
16,1,1.598
14,1,1.46
14,11,301.078
15,1,1.52
15,0,1.534
23,0,1.556
12,0,1.528
14,0,1.472
14,2,1.9
16,2,2.026
16,3,2.508
16,9,9.094
16,2,2.026
16,11,284.296
16,5,5.392
16,11,284.296
16,9,9.094
16,7,6.998
19,7,10.05
13,7,5.554
20,7,12.338
23,7,20.474
20,7,12.338
16,7,6.998
21,7,15.806
22,7,19.626
11,7,5.078
11,9,6.286
19,9,14.048
19,6,9.336
19,7,10.05
12,7,5.266
23,7,20.474
12,0,1.528
14,0,1.472
14,3,2.302
14,6,4.874
14,9,7.404
14,3,2.302
19,3,2.552
16,3,2.508
16,1,1.598
15,1,1.52
22,1,1.586
23,1,1.572
23,8,37.284
23,4,2.726
23,6,10.22
23,2,2.032
23,11,315.238
21,2,2.06
22,2,2.05
23,2,2.032
23,10,318.954
23,5,7.178
