WindowSize,CompressionLevel,Performance
24,4,2.708
24,7,20.228
24,3,2.478
12,3,2.426
12,8,5.318
18,3,2.562
18,6,7.51
18,8,9.684
18,9,11.954
18,5,6.714
18,0,1.628
19,0,1.614
19,1,1.604
19,10,258.558
12,1,1.542
12,6,3.846
10,1,1.666
22,1,1.586
22,11,259.594
22,5,7.198
13,1,1.514
23,1,1.572
19,1,1.604
16,1,1.598
15,1,1.52
15,9,8.084
19,1,1.604
18,1,1.63
18,3,2.562
12,1,1.542
12,10,328.816
12,11,328.552
12,3,2.426
14,1,1.46
14,8,6.086
14,3,2.302
16,1,1.598
16,3,2.508
12,1,1.542
12,6,3.846
12,8,5.318
23,1,1.572
15,1,1.52
15,5,5.072
20,1,1.636
22,1,1.586
22,6,10.266
11,1,1.526
18,1,1.63
24,1,1.57
14,1,1.46
14,7,5.896
15,1,1.52
15,10,291.618
15,10,291.618
20,1,1.636
20,9,17.4
20,8,14.64
24,1,1.57
11,1,1.526
11,2,1.998
15,2,1.972
11,2,1.998
11,10,343.594
11,0,1.526
11,7,5.078
21,0,1.604
21,8,18.874
21,5,7.272
21,8,18.874
10,0,1.662
10,11,363.346
10,11,363.346
15,0,1.534
15,9,8.084
10,0,1.662
10,7,4.874
10,11,363.346
10,11,363.346
20,0,1.63
20,11,246.08
20,8,14.64
22,0,1.596
19,0,1.614
22,6,10.266
23,0,1.556
10,0,1.662
10,2,2.146
10,7,4.874
11,0,1.526
22,0,1.596
21,0,1.604
24,0,1.574
24,1,1.57
24,2,2.04
10,1,1.666
16,1,1.598
16,0,1.59
16,8,7.548
