WindowSize,CompressionLevel,Performance
14,9,7.404
14,1,1.46
14,7,5.896
14,6,4.874
23,1,1.572
15,1,1.52
15,6,5.306
18,1,1.63
15,2,1.972
15,8,6.738
22,2,2.05
22,9,34.292
10,2,2.146
10,11,363.346
10,5,3.306
10,6,3.386
10,6,3.386
16,2,2.026
16,7,6.998
11,2,1.998
11,5,3.49
14,2,1.9
15,2,1.972
14,8,6.086
14,1,1.46
18,1,1.63
18,10,279.698
18,6,7.51
18,4,2.824
18,4,2.824
18,7,8.628
18,5,6.714
12,1,1.542
24,1,1.57
24,4,2.708
18,1,1.63
18,5,6.714
18,2,2.094
18,6,7.51
18,10,279.698
18,3,2.562
18,5,6.714
18,3,2.562
17,2,2.102
10,2,2.146
10,8,5.046
10,10,363.364
11,2,1.998
11,10,343.594
11,7,5.078
11,4,3.04
11,0,1.526
10,0,1.662
21,0,1.604
14,0,1.472
14,10,301.488
14,6,4.874
10,0,1.662
19,0,1.614
19,7,10.05
15,0,1.534
19,0,1.614
24,0,1.574
24,9,108.602
24,7,20.228
22,0,1.596
22,3,2.5
15,3,2.392
15,10,291.618
15,5,5.072
12,3,2.426
11,3,2.476
12,1,1.542
12,0,1.528
12,11,328.552
12,2,1.988
16,0,1.59
12,7,5.266
22,0,1.596
14,0,1.472
14,11,301.078
14,7,5.896
14,11,301.078
14,5,4.678
12,0,1.528
16,0,1.59
16,7,6.998
16,4,2.77
18,0,1.628
16,6,5.77
12,0,1.528
12,6,3.846
12,11,328.552
12,1,1.542
11,1,1.526
10,1,1.666
20,1,1.636
19,1,1.604
19,4,2.8
