WindowSize,CompressionLevel,Performance
24,5,7.154
24,2,2.04
24,9,108.602
22,2,2.05
17,2,2.102
16,2,2.026
22,2,2.05
22,11,259.594
22,3,2.5
21,3,2.512
21,11,244.72
21,0,1.604
20,0,1.63
20,5,7.45
20,1,1.636
18,1,1.63
18,7,8.628
21,1,1.598
14,1,1.46
23,1,1.572
14,5,4.678
15,1,1.52
14,1,1.46
14,3,2.302
13,3,2.37
13,2,1.942
11,2,1.998
11,4,3.04
11,8,5.042
10,4,3.02
15,4,2.834
16,4,2.77
24,4,2.708
17,4,2.848
19,4,2.8
18,4,2.824
18,8,9.684
21,4,2.768
21,1,1.598
21,8,18.874
13,1,1.514
12,1,1.542
18,1,1.63
14,1,1.46
14,5,4.678
13,1,1.514
13,0,1.514
14,0,1.472
18,0,1.628
18,9,11.954
12,0,1.528
21,0,1.604
12,0,1.528
12,9,6.47
11,0,1.526
21,0,1.604
12,0,1.528
12,5,3.746
12,3,2.426
23,3,2.478
16,3,2.508
11,3,2.476
23,3,2.478
13,3,2.37
13,5,4.128
23,3,2.478
23,10,318.954
23,8,37.284
17,3,2.564
10,3,2.616
10,6,3.386
13,3,2.37
13,8,5.62
23,3,2.478
16,3,2.508
16,4,2.77
19,3,2.552
22,3,2.5
12,3,2.426
12,0,1.528
12,10,328.816
12,1,1.542
17,1,1.612
10,1,1.666
16,1,1.598
16,9,9.094
18,1,1.63
18,3,2.562
18,6,7.51
17,1,1.612
17,6,6.34
20,1,1.636
11,1,1.526
11,3,2.476
11,11,343.996
22,1,1.586
14,1,1.46
10,1,1.666
19,1,1.604
