WindowSize,CompressionLevel,Performance
19,4,2.8
11,4,3.04
13,4,2.972
13,6,4.3
22,6,10.266
13,7,5.554
16,6,5.77
10,6,3.386
20,6,10.658
14,6,4.874
10,2,2.146
21,2,2.06
21,5,7.272
21,1,1.598
11,1,1.526
11,0,1.526
24,0,1.574
24,7,20.228
13,0,1.514
24,0,1.574
24,9,108.602
11,0,1.526
11,1,1.526
24,1,1.57
24,0,1.574
24,9,108.602
24,4,2.708
24,10,392.744
22,0,1.596
11,0,1.526
21,0,1.604
21,1,1.598
21,4,2.768
11,1,1.526
24,1,1.57
23,1,1.572
23,6,10.22
23,4,2.726
23,11,315.238
16,4,2.77
17,4,2.848
16,6,5.77
16,8,7.548
18,4,2.824
18,10,279.698
18,7,8.628
18,0,1.628
18,5,6.714
12,0,1.528
12,10,328.816
12,2,1.988
12,11,328.552
23,0,1.556
13,0,1.514
19,0,1.614
10,0,1.662
10,10,363.364
10,10,363.364
10,4,3.02
10,3,2.616
12,0,1.528
15,0,1.534
15,7,6.39
15,8,6.738
23,0,1.556
10,0,1.662
16,0,1.59
18,0,1.628
18,2,2.094
16,0,1.59
15,0,1.534
15,7,6.39
15,10,291.618
22,0,1.596
16,0,1.59
16,7,6.998
16,10,285.0
10,0,1.662
10,6,3.386
10,9,6.246
10,10,363.364
10,9,6.246
15,0,1.534
17,0,1.606
12,0,1.528
20,0,1.63
20,9,17.4
20,4,2.808
20,10,246.512
23,0,1.556
12,0,1.528
12,5,3.746
14,0,1.472
17,0,1.606
22,0,1.596
22,11,259.594
23,0,1.556
23,6,10.22
19,0,1.614
