WindowSize,CompressionLevel,Performance
20,6,10.658
20,9,17.4
24,9,108.602
12,9,6.47
19,9,14.048
19,10,258.558
23,9,63.68
19,2,2.1
19,5,7.372
19,3,2.552
11,3,2.476
11,8,5.042
24,8,38.644
11,9,6.286
11,2,1.998
21,2,2.06
21,6,10.46
15,6,5.306
18,6,7.51
19,6,9.336
15,6,5.306
16,6,5.77
16,9,9.094
16,11,284.296
16,2,2.026
11,2,1.998
23,2,2.032
19,2,2.1
12,2,1.988
14,2,1.9
24,2,2.04
24,8,38.644
24,5,7.154
24,4,2.708
14,4,2.894
14,6,4.874
14,4,2.894
14,8,6.086
21,8,18.874
21,9,23.614
10,9,6.246
16,9,9.094
18,9,11.954
18,10,279.698
24,9,108.602
12,9,6.47
12,8,5.318
12,1,1.542
12,7,5.266
24,7,20.228
12,1,1.542
12,9,6.47
12,10,328.816
10,9,6.246
16,9,9.094
16,3,2.508
10,3,2.616
10,11,363.346
10,5,3.306
17,3,2.564
17,2,2.102
17,10,307.144
10,2,2.146
10,10,363.364
22,2,2.05
12,2,1.988
16,2,2.026
16,6,5.77
18,6,7.51
18,3,2.562
17,3,2.564
15,3,2.392
15,5,5.072
12,5,3.746
14,5,4.678
22,5,7.198
22,6,10.266
21,5,7.272
17,5,5.886
17,9,10.152
17,0,1.606
11,0,1.526
11,6,3.57
11,9,6.286
20,6,10.658
22,6,10.266
16,6,5.77
16,11,284.296
16,5,5.392
16,10,285.0
14,5,4.678
14,8,6.086
14,1,1.46
22,1,1.586
17,1,1.612
17,11,307.42
14,1,1.46
10,1,1.666
12,1,1.542
