WindowSize,CompressionLevel,Performance
10,9,6.246
10,6,3.386
10,7,4.874
21,6,10.46
15,6,5.306
14,6,4.874
23,6,10.22
18,6,7.51
10,9,6.246
16,6,5.77
10,5,3.306
10,10,363.364
11,5,3.49
19,5,7.372
11,9,6.286
11,8,5.042
10,5,3.306
10,0,1.662
15,0,1.534
15,4,2.834
23,4,2.726
23,5,7.178
23,6,10.22
18,4,2.824
15,4,2.834
20,4,2.808
21,4,2.768
21,7,15.806
10,4,3.02
15,4,2.834
15,7,6.39
23,4,2.726
23,10,318.954
18,4,2.824
17,4,2.848
17,8,8.454
17,9,10.152
17,11,307.42
17,2,2.102
19,2,2.1
15,2,1.972
15,0,1.534
15,7,6.39
15,1,1.52
10,1,1.666
21,1,1.598
21,7,15.806
14,1,1.46
14,6,4.874
11,1,1.526
10,1,1.666
10,2,2.146
22,1,1.586
22,9,34.292
22,0,1.596
22,6,10.266
23,0,1.556
14,0,1.472
22,0,1.596
22,4,2.748
22,4,2.748
21,0,1.604
19,0,1.614
19,5,7.372
19,11,258.502
19,1,1.604
12,1,1.542
12,3,2.426
12,8,5.318
12,3,2.426
12,0,1.528
12,3,2.426
20,0,1.63
20,9,17.4
20,8,14.64
13,0,1.514
22,0,1.596
22,6,10.266
22,10,256.21
14,0,1.472
14,5,4.678
14,6,4.874
24,0,1.574
20,0,1.63
18,0,1.628
18,10,279.698
12,0,1.528
12,4,3.004
14,0,1.472
14,10,301.488
14,10,301.488
23,0,1.556
23,10,318.954
23,6,10.22
23,4,2.726
23,2,2.032
23,3,2.478
24,0,1.574
24,2,2.04
