WindowSize,CompressionLevel,Performance
10,5,3.306
10,7,4.874
21,5,7.272
10,6,3.386
12,6,3.846
19,6,9.336
12,3,2.426
19,3,2.552
16,3,2.508
23,3,2.478
13,3,2.37
12,3,2.426
12,6,3.846
23,3,2.478
11,3,2.476
11,5,3.49
11,9,6.286
11,10,343.594
16,5,5.392
11,3,2.476
11,10,343.594
11,2,1.998
15,2,1.972
15,5,5.072
15,0,1.534
19,0,1.614
19,4,2.8
22,0,1.596
18,0,1.628
18,7,8.628
18,9,11.954
20,0,1.63
20,5,7.45
14,0,1.472
19,0,1.614
22,0,1.596
10,0,1.662
10,2,2.146
10,3,2.616
10,7,4.874
16,3,2.508
16,7,6.998
24,3,2.478
17,3,2.564
17,11,307.42
24,3,2.478
24,6,10.176
14,3,2.302
15,3,2.392
15,2,1.972
20,2,2.088
20,10,246.512
20,4,2.808
11,2,1.998
12,2,1.988
12,4,3.004
19,2,2.1
19,4,2.8
19,1,1.604
15,1,1.52
23,1,1.572
21,1,1.598
22,1,1.586
11,1,1.526
12,1,1.542
12,0,1.528
12,7,5.266
21,0,1.604
11,0,1.526
11,2,1.998
20,0,1.63
20,1,1.636
20,9,17.4
24,1,1.57
11,1,1.526
16,1,1.598
19,1,1.604
24,1,1.57
10,1,1.666
24,9,108.602
20,1,1.636
24,6,10.176
24,4,2.708
24,7,20.228
24,2,2.04
24,5,7.154
20,1,1.636
14,1,1.46
11,1,1.526
20,1,1.636
19,1,1.604
19,2,2.1
16,1,1.598
16,5,5.392
23,1,1.572
23,7,20.474
23,2,2.032
23,8,37.284
23,2,2.032
