WindowSize,CompressionLevel,Performance
13,8,5.62
13,2,1.942
13,7,5.554
20,2,2.088
20,6,10.658
20,6,10.658
20,8,14.64
20,8,14.64
20,1,1.636
21,1,1.598
21,10,244.734
11,1,1.526
10,1,1.666
12,1,1.542
12,7,5.266
21,1,1.598
21,3,2.512
11,3,2.476
23,3,2.478
15,3,2.392
18,3,2.562
10,3,2.616
17,3,2.564
22,3,2.5
22,8,25.432
22,11,259.594
17,3,2.564
17,10,307.144
14,3,2.302
14,9,7.404
13,3,2.37
13,7,5.554
14,3,2.302
14,11,301.078
14,6,4.874
17,3,2.564
20,3,2.546
12,3,2.426
11,3,2.476
18,3,2.562
15,3,2.392
15,5,5.072
21,3,2.512
21,5,7.272
14,3,2.302
14,1,1.46
23,1,1.572
13,1,1.514
13,2,1.942
15,2,1.972
15,7,6.39
17,2,2.102
17,9,10.152
10,2,2.146
10,0,1.662
14,0,1.472
14,4,2.894
14,10,301.488
14,1,1.46
13,1,1.514
13,10,313.652
21,1,1.598
24,1,1.57
23,1,1.572
23,8,37.284
16,1,1.598
16,4,2.77
16,2,2.026
16,0,1.59
16,4,2.77
24,0,1.574
19,0,1.614
22,0,1.596
14,0,1.472
22,0,1.596
22,7,19.626
16,0,1.59
16,11,284.296
16,7,6.998
21,0,1.604
11,0,1.526
10,0,1.662
11,5,3.49
22,0,1.596
22,0,1.596
19,0,1.614
18,0,1.628
21,0,1.604
18,0,1.628
21,0,1.604
14,0,1.472
14,8,6.086
14,4,2.894
14,4,2.894
10,0,1.662
14,11,301.078
10,0,1.662
14,8,6.086
16,0,1.59
