WindowSize,CompressionLevel,Performance
21,4,2.768
21,8,18.874
13,4,2.972
23,4,2.726
23,10,318.954
14,4,2.894
18,4,2.824
18,0,1.628
18,7,8.628
18,7,8.628
18,2,2.094
20,0,1.63
20,5,7.45
17,0,1.606
24,0,1.574
21,0,1.604
14,0,1.472
14,4,2.894
14,9,7.404
20,0,1.63
20,8,14.64
20,6,10.658
20,10,246.512
19,0,1.614
19,6,9.336
18,0,1.628
18,5,6.714
18,8,9.684
18,8,9.684
24,0,1.574
11,0,1.526
19,0,1.614
19,2,2.1
19,7,10.05
19,1,1.604
19,0,1.614
23,0,1.556
15,0,1.534
11,0,1.526
23,0,1.556
15,0,1.534
11,0,1.526
11,5,3.49
11,1,1.526
14,1,1.46
14,7,5.896
14,7,5.896
24,1,1.57
24,6,10.176
10,1,1.666
10,11,363.346
10,11,363.346
14,1,1.46
18,1,1.63
18,11,279.692
20,1,1.636
18,1,1.63
22,1,1.586
17,1,1.612
17,0,1.606
23,0,1.556
17,0,1.606
17,10,307.144
22,0,1.596
22,1,1.586
14,1,1.46
19,1,1.604
19,10,258.558
16,1,1.598
17,1,1.612
17,0,1.606
17,9,10.152
17,8,8.454
17,7,7.636
17,5,5.886
17,11,307.42
22,0,1.596
18,0,1.628
22,0,1.596
22,4,2.748
20,0,1.63
16,0,1.59
16,6,5.77
16,1,1.598
16,6,5.77
15,1,1.52
12,1,1.542
21,1,1.598
21,2,2.06
22,1,1.586
22,5,7.198
13,1,1.514
23,1,1.572
23,2,2.032
23,5,7.178
16,1,1.598
23,1,1.572
23,2,2.032
23,3,2.478
