WindowSize,CompressionLevel,Performance
18,7,8.628
18,3,2.562
10,3,2.616
21,3,2.512
14,3,2.302
14,4,2.894
14,6,4.874
18,6,7.51
10,6,3.386
21,6,10.46
12,6,3.846
12,1,1.542
20,1,1.636
13,1,1.514
10,1,1.666
11,1,1.526
11,9,6.286
11,11,343.996
19,9,14.048
17,9,10.152
24,9,108.602
15,9,8.084
15,1,1.52
16,1,1.598
16,10,285.0
18,1,1.63
18,9,11.954
18,11,279.692
24,1,1.57
14,1,1.46
14,10,301.488
14,3,2.302
14,6,4.874
14,3,2.302
17,3,2.564
17,2,2.102
17,8,8.454
17,7,7.636
19,7,10.05
19,10,258.558
19,10,258.558
15,7,6.39
18,7,8.628
12,7,5.266
12,9,6.47
16,9,9.094
10,9,6.246
10,8,5.046
19,8,11.508
19,7,10.05
19,6,9.336
21,6,10.46
20,6,10.658
20,8,14.64
20,1,1.636
20,3,2.546
20,2,2.088
20,8,14.64
21,8,18.874
18,8,9.684
20,8,14.64
15,8,6.738
19,8,11.508
11,8,5.042
11,7,5.078
24,7,20.228
24,6,10.176
23,6,10.22
10,6,3.386
19,6,9.336
13,6,4.3
13,2,1.942
13,7,5.554
13,11,315.078
13,10,313.652
13,6,4.3
13,1,1.514
15,1,1.52
15,11,292.192
15,6,5.306
18,6,7.51
11,6,3.57
11,11,343.996
11,8,5.042
11,6,3.57
11,11,343.996
16,6,5.77
10,6,3.386
10,10,363.364
10,10,363.364
22,6,10.266
10,9,6.246
14,6,4.874
17,6,6.34
22,6,10.266
11,6,3.57
11,10,343.594
11,1,1.526
11,3,2.476
