WindowSize,CompressionLevel,Performance
24,5,7.154
16,5,5.392
16,3,2.508
21,3,2.512
17,3,2.564
17,10,307.144
18,3,2.562
16,3,2.508
16,6,5.77
19,6,9.336
19,1,1.604
18,1,1.63
18,3,2.562
23,3,2.478
11,3,2.476
11,10,343.594
13,3,2.37
24,3,2.478
16,3,2.508
16,6,5.77
16,8,7.548
16,11,284.296
16,4,2.77
21,4,2.768
14,4,2.894
14,7,5.896
20,7,12.338
19,7,10.05
19,4,2.8
19,1,1.604
24,1,1.57
18,1,1.63
18,0,1.628
18,2,2.094
20,2,2.088
20,8,14.64
11,8,5.042
11,2,1.998
20,2,2.088
20,10,246.512
20,6,10.658
20,4,2.808
16,4,2.77
24,4,2.708
12,4,3.004
12,8,5.318
12,0,1.528
12,2,1.988
17,2,2.102
19,2,2.1
19,5,7.372
16,2,2.026
18,2,2.094
18,9,11.954
21,9,23.614
21,10,244.734
13,9,6.862
18,9,11.954
13,2,1.942
13,4,2.972
23,4,2.726
17,4,2.848
15,4,2.834
15,2,1.972
12,2,1.988
24,2,2.04
24,5,7.154
24,9,108.602
24,7,20.228
20,5,7.45
20,10,246.512
20,3,2.546
20,8,14.64
15,3,2.392
15,5,5.072
17,3,2.564
18,3,2.562
11,3,2.476
24,3,2.478
11,3,2.476
10,3,2.616
10,10,363.364
24,3,2.478
22,3,2.5
22,9,34.292
22,7,19.626
22,7,19.626
22,5,7.198
11,3,2.476
11,0,1.526
11,5,3.49
11,9,6.286
20,9,17.4
11,11,343.996
14,9,7.404
14,6,4.874
14,7,5.896
21,7,15.806
21,8,18.874
