fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,1,1,128,8,256,46778.0
1,1,0,1,0,64,2,1024,139402.4
1,1,0,1,0,64,32,4096,131301.0
0,1,1,1,1,128,2,4096,47014.0
1,0,0,1,0,128,32,4096,133001.4
1,1,1,1,0,128,2,1024,128922.6
1,1,0,1,1,64,32,4096,130741.8
1,1,1,0,1,256,32,4096,128597.0
1,0,0,0,1,256,32,4096,129652.6
0,1,0,0,0,64,2,1024,46111.6
0,0,1,0,1,256,32,1024,45939.8
1,0,0,1,1,128,32,4096,132487.4
0,1,1,0,0,64,2,256,46338.6
0,1,0,1,1,256,2,1024,46417.0
1,0,0,0,1,128,2,256,135331.6
1,1,0,0,1,256,8,4096,135842.6
0,1,0,0,1,256,32,1024,46191.2
1,0,1,0,1,256,8,1024,134254.2
1,0,0,1,1,256,32,1024,135168.4
1,0,0,1,1,128,8,256,132351.4
1,0,1,0,0,64,32,4096,135630.0
1,0,1,0,1,64,2,256,134987.2
1,1,0,0,0,64,8,4096,135287.8
0,1,1,0,1,128,8,4096,46460.8
1,1,1,1,0,256,2,256,129518.8
1,1,1,1,1,128,2,4096,131763.6
0,1,1,1,1,64,8,256,46723.2
1,0,1,1,0,64,8,1024,138765.2
1,1,1,1,1,64,8,4096,130401.6
0,0,0,0,0,128,32,1024,46582.2
0,1,0,0,0,128,2,1024,46240.8
0,1,0,0,0,256,2,4096,46096.4
0,1,0,1,1,256,32,1024,46390.0
1,1,1,1,0,256,32,256,131548.2
0,0,0,0,0,64,2,4096,46558.6
0,1,1,0,1,64,32,256,46325.8
1,1,0,0,0,64,8,4096,135287.8
0,1,0,1,0,64,2,256,46355.4
0,0,0,0,0,64,2,4096,46558.6
1,1,0,1,0,256,32,1024,134381.0
1,1,1,0,1,128,2,256,130635.2
1,1,1,0,0,64,2,1024,129472.0
0,1,1,1,1,64,2,4096,46733.4
0,0,0,1,1,64,8,256,46340.2
0,1,0,0,0,128,32,1024,46341.0
1,1,0,1,1,128,32,1024,129568.0
1,1,1,0,1,256,2,256,137593.6
0,1,0,1,1,128,2,1024,46445.4
1,1,0,0,1,256,2,4096,132262.2
0,0,0,1,0,64,8,1024,46405.2
0,1,0,0,1,128,32,4096,46213.6
1,1,1,0,0,128,2,1024,135272.2
0,0,0,1,0,128,32,256,46457.2
0,0,0,1,0,256,32,256,46346.4
1,1,1,1,0,128,32,1024,126388.4
0,0,0,1,0,256,8,256,46388.8
0,1,1,0,0,64,2,256,46338.6
0,0,0,0,0,64,2,4096,46558.6
1,1,0,1,0,64,8,256,133943.0
1,1,1,0,1,128,2,1024,134561.0
0,1,1,1,0,128,32,1024,46795.6
0,0,0,0,0,64,32,1024,46298.4
0,0,0,0,0,64,2,256,46272.2
0,0,1,0,1,64,2,256,46268.8
1,1,0,1,0,64,32,4096,131301.0
1,0,1,0,1,256,8,4096,136736.2
1,0,0,1,0,64,2,1024,130483.0
1,0,0,0,1,64,2,1024,132218.0
1,0,1,1,1,128,8,1024,139292.8
0,0,1,1,0,128,32,256,46471.0
1,0,0,1,0,64,32,4096,130955.8
1,1,0,0,0,256,2,4096,133927.6
1,0,1,0,1,64,2,256,134987.2
1,0,1,0,1,256,32,256,137280.0
1,1,1,0,0,128,8,4096,128931.4
0,1,0,1,0,128,32,1024,47239.8
1,0,0,1,1,128,32,1024,135249.8
0,1,0,1,1,64,8,256,46752.4
0,0,0,0,0,128,2,1024,46169.2
1,1,0,1,0,128,2,256,135754.4
0,0,1,0,0,128,8,4096,46163.2
1,1,1,0,0,256,2,4096,131836.0
1,1,1,0,0,128,2,4096,133944.0
0,0,0,1,1,128,32,4096,46343.6
0,1,0,1,1,64,8,1024,47491.4
1,1,1,0,1,128,32,256,128130.2
0,1,1,1,0,64,2,1024,46505.8
0,1,0,0,0,64,8,1024,46294.0
0,0,0,1,1,256,8,4096,46339.4
1,1,1,1,0,128,32,256,130071.2
0,1,0,1,0,64,2,256,46355.4
1,1,0,1,0,64,32,1024,132685.0
0,1,1,0,1,64,2,256,46194.4
1,0,1,0,1,128,8,1024,136768.0
1,1,0,1,0,64,8,1024,132315.2
1,0,1,0,0,128,2,1024,137218.2
1,1,1,1,1,256,2,1024,129201.2
1,1,1,1,0,128,8,1024,129666.0
0,0,1,0,0,64,8,1024,46291.6
1,1,0,1,0,64,2,4096,131709.2
