WindowSize,CompressionLevel,Performance
12,1,1.542
15,3,2.392
10,10,363.364
14,6,4.874
22,11,259.594
12,8,5.318
22,5,7.198
12,9,6.47
13,9,6.862
22,9,34.292
19,7,10.05
20,0,1.63
13,10,313.652
18,6,7.51
20,9,17.4
19,8,11.508
20,2,2.088
14,11,301.078
19,2,2.1
18,4,2.824
17,1,1.612
17,3,2.564
19,1,1.604
15,6,5.306
16,1,1.598
14,9,7.404
17,3,2.564
15,7,6.39
13,7,5.554
13,1,1.514
16,11,284.296
16,11,284.296
20,10,246.512
14,2,1.9
23,4,2.726
14,0,1.472
16,1,1.598
21,2,2.06
10,3,2.616
19,0,1.614
15,2,1.972
21,6,10.46
17,11,307.42
10,9,6.246
12,10,328.816
21,11,244.72
20,10,246.512
22,4,2.748
13,10,313.652
18,1,1.63
21,4,2.768
13,7,5.554
16,4,2.77
13,4,2.972
24,3,2.478
18,6,7.51
11,4,3.04
15,5,5.072
21,6,10.46
10,1,1.666
21,9,23.614
10,8,5.046
19,8,11.508
21,1,1.598
15,0,1.534
21,0,1.604
15,10,291.618
14,4,2.894
10,5,3.306
19,7,10.05
11,1,1.526
23,9,63.68
20,8,14.64
15,10,291.618
14,1,1.46
23,9,63.68
21,4,2.768
22,5,7.198
22,9,34.292
12,2,1.988
10,3,2.616
14,11,301.078
18,2,2.094
21,8,18.874
20,7,12.338
24,7,20.228
22,3,2.5
21,11,244.72
18,1,1.63
15,6,5.306
18,4,2.824
11,1,1.526
13,2,1.942
12,3,2.426
22,6,10.266
13,1,1.514
21,1,1.598
18,10,279.698
10,2,2.146
18,4,2.824
