WindowSize,CompressionLevel,Performance
16,6,5.77
22,10,256.21
15,1,1.52
22,4,2.748
16,4,2.77
13,6,4.3
21,3,2.512
18,8,9.684
22,10,256.21
15,1,1.52
18,6,7.51
16,0,1.59
16,3,2.508
24,9,108.602
10,6,3.386
19,4,2.8
13,4,2.972
13,11,315.078
18,1,1.63
17,6,6.34
22,8,25.432
24,7,20.228
15,8,6.738
18,4,2.824
12,2,1.988
15,11,292.192
24,2,2.04
18,0,1.628
21,10,244.734
23,11,315.238
15,3,2.392
18,11,279.692
11,10,343.594
19,1,1.604
13,0,1.514
11,4,3.04
11,11,343.996
14,0,1.472
13,0,1.514
22,4,2.748
20,1,1.636
15,6,5.306
10,10,363.364
14,10,301.488
19,2,2.1
23,10,318.954
24,6,10.176
23,6,10.22
12,11,328.552
23,10,318.954
14,9,7.404
11,5,3.49
23,11,315.238
11,7,5.078
17,2,2.102
11,7,5.078
12,7,5.266
21,7,15.806
19,1,1.604
15,10,291.618
22,3,2.5
19,6,9.336
20,0,1.63
12,9,6.47
13,1,1.514
14,4,2.894
16,9,9.094
11,9,6.286
22,4,2.748
19,9,14.048
14,1,1.46
11,8,5.042
15,9,8.084
12,0,1.528
18,7,8.628
18,5,6.714
17,8,8.454
12,2,1.988
14,1,1.46
16,6,5.77
10,2,2.146
20,1,1.636
19,4,2.8
10,3,2.616
16,6,5.77
21,4,2.768
23,11,315.238
17,4,2.848
19,1,1.604
13,2,1.942
23,4,2.726
20,6,10.658
13,8,5.62
21,6,10.46
12,5,3.746
19,6,9.336
19,3,2.552
24,1,1.57
12,1,1.542
20,10,246.512
