WindowSize,CompressionLevel,Performance
22,4,2.748
23,1,1.572
16,5,5.392
12,0,1.528
21,5,7.272
17,0,1.606
16,6,5.77
20,4,2.808
21,6,10.46
23,11,315.238
24,10,392.744
19,3,2.552
24,4,2.708
17,9,10.152
21,7,15.806
11,0,1.526
13,7,5.554
18,9,11.954
21,7,15.806
17,11,307.42
17,3,2.564
16,9,9.094
17,10,307.144
24,4,2.708
17,8,8.454
13,2,1.942
21,2,2.06
18,4,2.824
17,4,2.848
21,8,18.874
12,1,1.542
19,10,258.558
11,8,5.042
24,8,38.644
22,4,2.748
13,10,313.652
21,1,1.598
16,5,5.392
15,8,6.738
13,3,2.37
12,7,5.266
11,0,1.526
21,0,1.604
20,6,10.658
22,2,2.05
19,4,2.8
23,11,315.238
15,2,1.972
23,9,63.68
23,3,2.478
19,2,2.1
24,10,392.744
16,1,1.598
12,5,3.746
14,6,4.874
10,2,2.146
14,8,6.086
17,10,307.144
16,3,2.508
10,8,5.046
18,7,8.628
14,4,2.894
10,2,2.146
15,3,2.392
10,7,4.874
18,1,1.63
14,10,301.488
11,11,343.996
18,4,2.824
20,7,12.338
14,3,2.302
22,2,2.05
24,7,20.228
21,7,15.806
11,8,5.042
17,10,307.144
15,11,292.192
16,2,2.026
19,6,9.336
12,10,328.816
14,1,1.46
14,0,1.472
23,5,7.178
10,1,1.666
15,4,2.834
24,0,1.574
20,10,246.512
12,4,3.004
11,10,343.594
17,6,6.34
17,0,1.606
19,4,2.8
12,9,6.47
18,11,279.692
13,2,1.942
24,5,7.154
16,3,2.508
10,3,2.616
15,0,1.534
16,4,2.77
