WindowSize,CompressionLevel,Performance
13,11,315.078
20,0,1.63
20,5,7.45
13,3,2.37
20,8,14.64
10,6,3.386
23,0,1.556
11,1,1.526
15,0,1.534
22,9,34.292
17,7,7.636
11,11,343.996
16,2,2.026
18,7,8.628
15,5,5.072
21,6,10.46
14,3,2.302
17,9,10.152
15,2,1.972
17,5,5.886
14,6,4.874
15,4,2.834
10,2,2.146
12,7,5.266
20,0,1.63
21,4,2.768
23,5,7.178
10,8,5.046
16,11,284.296
13,3,2.37
19,6,9.336
23,5,7.178
14,8,6.086
11,6,3.57
16,9,9.094
12,6,3.846
16,1,1.598
19,8,11.508
22,8,25.432
14,7,5.896
18,9,11.954
11,11,343.996
15,1,1.52
10,5,3.306
17,11,307.42
14,6,4.874
19,4,2.8
22,11,259.594
15,3,2.392
11,10,343.594
20,5,7.45
15,3,2.392
12,10,328.816
22,8,25.432
21,0,1.604
17,3,2.564
17,7,7.636
18,5,6.714
11,11,343.996
19,6,9.336
17,6,6.34
16,8,7.548
21,9,23.614
18,4,2.824
22,11,259.594
12,4,3.004
19,1,1.604
24,2,2.04
20,8,14.64
10,11,363.346
24,9,108.602
16,5,5.392
12,4,3.004
14,3,2.302
15,1,1.52
11,4,3.04
21,1,1.598
24,1,1.57
16,8,7.548
14,6,4.874
21,4,2.768
19,11,258.502
23,6,10.22
18,8,9.684
14,8,6.086
20,1,1.636
20,5,7.45
21,11,244.72
11,6,3.57
17,11,307.42
11,5,3.49
10,4,3.02
12,2,1.988
20,5,7.45
22,1,1.586
19,10,258.558
19,7,10.05
17,3,2.564
11,3,2.476
11,8,5.042
