WindowSize,CompressionLevel,Performance
15,11,292.192
20,3,2.546
13,0,1.514
13,4,2.972
20,10,246.512
24,11,394.158
10,2,2.146
24,7,20.228
18,7,8.628
22,4,2.748
13,5,4.128
10,8,5.046
15,6,5.306
10,7,4.874
23,4,2.726
11,2,1.998
23,0,1.556
17,10,307.144
23,0,1.556
18,0,1.628
21,6,10.46
13,7,5.554
10,11,363.346
14,8,6.086
13,10,313.652
24,5,7.154
20,2,2.088
13,4,2.972
21,9,23.614
16,11,284.296
10,6,3.386
22,10,256.21
13,10,313.652
19,5,7.372
19,0,1.614
24,9,108.602
14,5,4.678
18,8,9.684
15,9,8.084
15,2,1.972
14,5,4.678
14,6,4.874
10,0,1.662
18,7,8.628
23,1,1.572
12,2,1.988
12,3,2.426
24,5,7.154
15,8,6.738
14,5,4.678
18,7,8.628
11,5,3.49
15,10,291.618
24,8,38.644
17,2,2.102
22,8,25.432
20,9,17.4
21,7,15.806
17,8,8.454
15,9,8.084
23,6,10.22
14,7,5.896
15,0,1.534
19,1,1.604
15,5,5.072
13,7,5.554
20,2,2.088
24,9,108.602
15,3,2.392
15,11,292.192
11,0,1.526
23,2,2.032
14,11,301.078
18,11,279.692
14,11,301.078
22,7,19.626
23,5,7.178
16,10,285.0
14,5,4.678
10,7,4.874
18,3,2.562
16,7,6.998
16,0,1.59
13,7,5.554
22,3,2.5
21,9,23.614
15,11,292.192
14,11,301.078
20,6,10.658
16,5,5.392
23,7,20.474
23,5,7.178
10,1,1.666
12,1,1.542
23,4,2.726
18,9,11.954
13,4,2.972
17,4,2.848
17,4,2.848
22,5,7.198
