WindowSize,CompressionLevel,Performance
23,0,1.556
15,4,2.834
24,10,392.744
16,0,1.59
16,11,284.296
11,4,3.04
13,10,313.652
12,5,3.746
19,2,2.1
13,10,313.652
23,11,315.238
12,2,1.988
20,11,246.08
21,6,10.46
23,6,10.22
18,0,1.628
22,0,1.596
18,2,2.094
11,3,2.476
11,4,3.04
14,1,1.46
18,4,2.824
11,4,3.04
17,9,10.152
11,8,5.042
15,2,1.972
10,4,3.02
15,5,5.072
16,11,284.296
15,3,2.392
19,10,258.558
10,6,3.386
10,2,2.146
20,0,1.63
10,7,4.874
11,10,343.594
14,10,301.488
10,3,2.616
20,6,10.658
12,1,1.542
18,2,2.094
18,3,2.562
24,6,10.176
22,1,1.586
12,2,1.988
24,1,1.57
18,2,2.094
16,4,2.77
15,4,2.834
22,7,19.626
19,4,2.8
16,1,1.598
18,5,6.714
12,4,3.004
15,4,2.834
18,3,2.562
11,2,1.998
15,8,6.738
18,3,2.562
15,1,1.52
21,0,1.604
12,11,328.552
14,1,1.46
13,8,5.62
11,4,3.04
12,9,6.47
12,4,3.004
10,9,6.246
15,9,8.084
24,2,2.04
23,5,7.178
18,5,6.714
17,1,1.612
14,11,301.078
14,7,5.896
16,11,284.296
17,7,7.636
15,2,1.972
13,0,1.514
19,11,258.502
18,6,7.51
16,11,284.296
14,3,2.302
23,6,10.22
19,6,9.336
11,5,3.49
18,2,2.094
23,9,63.68
13,5,4.128
18,7,8.628
17,9,10.152
23,0,1.556
13,6,4.3
24,10,392.744
13,4,2.972
18,9,11.954
12,2,1.988
16,3,2.508
14,5,4.678
15,9,8.084
