WindowSize,CompressionLevel,Performance
14,11,301.078
19,10,258.558
24,4,2.708
23,5,7.178
10,6,3.386
18,4,2.824
13,2,1.942
20,4,2.808
14,6,4.874
14,7,5.896
11,6,3.57
15,5,5.072
20,7,12.338
13,10,313.652
22,9,34.292
19,11,258.502
19,0,1.614
20,5,7.45
21,8,18.874
13,9,6.862
22,7,19.626
16,7,6.998
23,2,2.032
22,1,1.586
11,10,343.594
19,4,2.8
21,9,23.614
23,5,7.178
23,3,2.478
10,4,3.02
23,8,37.284
13,8,5.62
19,2,2.1
11,10,343.594
12,11,328.552
13,9,6.862
19,3,2.552
22,8,25.432
16,9,9.094
19,2,2.1
16,10,285.0
19,0,1.614
19,3,2.552
23,10,318.954
14,0,1.472
18,1,1.63
10,4,3.02
16,4,2.77
19,6,9.336
11,0,1.526
14,6,4.874
21,2,2.06
12,4,3.004
24,0,1.574
16,9,9.094
12,2,1.988
18,7,8.628
22,0,1.596
18,9,11.954
15,1,1.52
16,10,285.0
18,3,2.562
11,11,343.996
24,9,108.602
19,0,1.614
20,4,2.808
15,0,1.534
15,8,6.738
10,6,3.386
24,10,392.744
23,4,2.726
22,0,1.596
22,4,2.748
24,7,20.228
18,6,7.51
19,11,258.502
16,6,5.77
17,10,307.144
18,11,279.692
17,11,307.42
10,9,6.246
23,2,2.032
18,9,11.954
15,3,2.392
16,10,285.0
22,5,7.198
17,11,307.42
18,6,7.51
18,8,9.684
14,9,7.404
15,3,2.392
22,11,259.594
11,4,3.04
14,9,7.404
19,11,258.502
17,6,6.34
11,4,3.04
23,6,10.22
22,11,259.594
17,8,8.454
