WindowSize,CompressionLevel,Performance
14,9,7.404
23,7,20.474
23,8,37.284
22,0,1.596
19,11,258.502
11,10,343.594
16,10,285.0
22,4,2.748
22,3,2.5
11,8,5.042
22,1,1.586
10,11,363.346
15,10,291.618
21,2,2.06
24,3,2.478
11,4,3.04
12,2,1.988
14,8,6.086
11,2,1.998
15,9,8.084
17,6,6.34
18,7,8.628
10,4,3.02
10,3,2.616
20,4,2.808
10,2,2.146
23,10,318.954
18,11,279.692
13,3,2.37
21,7,15.806
21,2,2.06
21,1,1.598
15,6,5.306
21,5,7.272
10,1,1.666
15,2,1.972
12,7,5.266
13,10,313.652
21,7,15.806
21,3,2.512
13,3,2.37
15,2,1.972
15,5,5.072
23,3,2.478
13,5,4.128
24,3,2.478
12,3,2.426
10,6,3.386
19,6,9.336
19,0,1.614
19,2,2.1
18,2,2.094
24,0,1.574
21,9,23.614
19,2,2.1
13,8,5.62
10,10,363.364
15,0,1.534
19,9,14.048
20,11,246.08
10,1,1.666
16,9,9.094
12,11,328.552
10,9,6.246
21,3,2.512
13,1,1.514
24,4,2.708
15,1,1.52
10,5,3.306
19,6,9.336
16,6,5.77
21,6,10.46
20,2,2.088
17,2,2.102
16,0,1.59
17,6,6.34
16,9,9.094
12,7,5.266
14,7,5.896
11,1,1.526
23,2,2.032
14,7,5.896
23,4,2.726
17,10,307.144
14,10,301.488
21,6,10.46
12,1,1.542
15,10,291.618
20,0,1.63
24,3,2.478
17,6,6.34
20,9,17.4
20,9,17.4
14,8,6.086
24,8,38.644
23,6,10.22
22,5,7.198
22,0,1.596
21,1,1.598
20,7,12.338
