WindowSize,CompressionLevel,Performance
14,6,4.874
15,3,2.392
21,4,2.768
14,4,2.894
15,7,6.39
20,6,10.658
24,0,1.574
14,4,2.894
21,5,7.272
21,4,2.768
24,8,38.644
19,6,9.336
23,6,10.22
12,10,328.816
14,5,4.678
24,2,2.04
17,9,10.152
23,9,63.68
17,8,8.454
13,10,313.652
15,3,2.392
16,6,5.77
17,0,1.606
12,8,5.318
21,11,244.72
22,1,1.586
11,10,343.594
21,11,244.72
15,7,6.39
16,6,5.77
12,1,1.542
21,1,1.598
18,9,11.954
22,3,2.5
17,6,6.34
11,2,1.998
21,2,2.06
22,3,2.5
19,5,7.372
16,2,2.026
19,11,258.502
17,6,6.34
13,0,1.514
24,2,2.04
20,2,2.088
17,2,2.102
13,0,1.514
14,3,2.302
14,4,2.894
21,1,1.598
20,8,14.64
20,8,14.64
19,6,9.336
24,6,10.176
17,0,1.606
20,7,12.338
21,5,7.272
21,8,18.874
10,2,2.146
24,1,1.57
17,8,8.454
12,3,2.426
16,4,2.77
21,0,1.604
13,4,2.972
11,0,1.526
19,2,2.1
18,0,1.628
17,7,7.636
16,11,284.296
10,5,3.306
14,0,1.472
17,8,8.454
22,2,2.05
19,4,2.8
12,8,5.318
24,1,1.57
23,1,1.572
21,10,244.734
20,10,246.512
14,4,2.894
19,5,7.372
13,0,1.514
17,8,8.454
21,0,1.604
23,4,2.726
11,6,3.57
18,1,1.63
23,9,63.68
24,5,7.154
16,9,9.094
16,10,285.0
11,8,5.042
11,3,2.476
12,3,2.426
20,5,7.45
12,7,5.266
15,3,2.392
20,9,17.4
14,2,1.9
