WindowSize,CompressionLevel,Performance
24,0,1.574
18,4,2.824
12,9,6.47
10,0,1.662
20,2,2.088
19,11,258.502
23,10,318.954
24,2,2.04
10,0,1.662
19,5,7.372
11,2,1.998
21,2,2.06
18,6,7.51
23,7,20.474
13,3,2.37
23,0,1.556
16,6,5.77
10,3,2.616
24,0,1.574
19,4,2.8
18,5,6.714
17,2,2.102
12,8,5.318
15,3,2.392
16,3,2.508
20,9,17.4
24,5,7.154
16,2,2.026
11,7,5.078
21,10,244.734
20,6,10.658
19,1,1.604
20,4,2.808
19,2,2.1
21,4,2.768
23,7,20.474
10,7,4.874
13,0,1.514
17,6,6.34
24,3,2.478
12,2,1.988
22,0,1.596
21,1,1.598
23,1,1.572
16,6,5.77
15,1,1.52
24,8,38.644
11,3,2.476
20,2,2.088
10,1,1.666
19,6,9.336
19,8,11.508
10,2,2.146
18,9,11.954
22,0,1.596
13,0,1.514
12,7,5.266
20,11,246.08
17,8,8.454
18,1,1.63
15,6,5.306
19,10,258.558
22,4,2.748
15,6,5.306
17,5,5.886
23,0,1.556
14,10,301.488
12,7,5.266
10,10,363.364
17,3,2.564
17,11,307.42
22,10,256.21
13,3,2.37
12,6,3.846
21,5,7.272
12,2,1.988
20,11,246.08
16,8,7.548
17,4,2.848
23,5,7.178
14,6,4.874
11,3,2.476
13,6,4.3
19,6,9.336
11,0,1.526
22,7,19.626
21,3,2.512
10,11,363.346
14,7,5.896
18,7,8.628
23,3,2.478
19,3,2.552
19,9,14.048
18,3,2.562
20,3,2.546
19,10,258.558
13,4,2.972
20,3,2.546
16,8,7.548
23,11,315.238
