WindowSize,CompressionLevel,Performance
14,11,301.078
15,0,1.534
24,7,20.228
10,7,4.874
16,0,1.59
11,7,5.078
21,11,244.72
24,6,10.176
22,1,1.586
24,4,2.708
16,0,1.59
10,11,363.346
23,10,318.954
14,2,1.9
15,2,1.972
11,7,5.078
17,0,1.606
15,8,6.738
16,5,5.392
22,0,1.596
14,11,301.078
21,4,2.768
18,4,2.824
14,1,1.46
18,10,279.698
23,3,2.478
12,2,1.988
12,8,5.318
13,10,313.652
12,9,6.47
10,0,1.662
15,9,8.084
19,4,2.8
13,7,5.554
14,10,301.488
12,9,6.47
17,0,1.606
16,0,1.59
18,7,8.628
24,3,2.478
16,5,5.392
20,5,7.45
10,3,2.616
18,6,7.51
12,11,328.552
10,4,3.02
11,5,3.49
15,4,2.834
14,9,7.404
20,7,12.338
12,0,1.528
14,2,1.9
20,4,2.808
17,6,6.34
19,8,11.508
21,6,10.46
13,4,2.972
19,11,258.502
15,8,6.738
13,7,5.554
18,8,9.684
23,7,20.474
22,10,256.21
17,2,2.102
24,0,1.574
17,1,1.612
16,3,2.508
11,0,1.526
23,5,7.178
14,4,2.894
19,6,9.336
24,1,1.57
14,5,4.678
18,6,7.51
22,0,1.596
11,1,1.526
22,4,2.748
21,1,1.598
23,6,10.22
22,0,1.596
14,1,1.46
12,0,1.528
14,11,301.078
15,5,5.072
20,11,246.08
17,10,307.144
21,9,23.614
22,0,1.596
24,11,394.158
15,5,5.072
20,7,12.338
13,0,1.514
13,4,2.972
14,7,5.896
17,5,5.886
21,2,2.06
12,3,2.426
19,10,258.558
10,3,2.616
11,4,3.04
