WindowSize,CompressionLevel,Performance
24,6,10.176
13,11,315.078
12,10,328.816
13,7,5.554
21,0,1.604
12,9,6.47
20,4,2.808
12,7,5.266
15,5,5.072
19,11,258.502
10,11,363.346
17,0,1.606
19,11,258.502
12,0,1.528
23,1,1.572
18,11,279.692
22,10,256.21
23,4,2.726
14,8,6.086
10,1,1.666
11,11,343.996
24,11,394.158
15,4,2.834
13,0,1.514
22,10,256.21
13,3,2.37
18,7,8.628
23,0,1.556
13,1,1.514
18,3,2.562
24,5,7.154
14,3,2.302
10,6,3.386
13,8,5.62
24,9,108.602
19,3,2.552
18,2,2.094
24,10,392.744
13,11,315.078
24,2,2.04
11,3,2.476
15,1,1.52
13,9,6.862
15,7,6.39
21,8,18.874
20,6,10.658
18,4,2.824
16,9,9.094
11,9,6.286
15,4,2.834
12,8,5.318
15,10,291.618
22,5,7.198
20,5,7.45
20,11,246.08
12,9,6.47
21,5,7.272
17,5,5.886
23,6,10.22
14,6,4.874
11,1,1.526
16,11,284.296
14,3,2.302
21,3,2.512
17,11,307.42
16,1,1.598
13,9,6.862
19,2,2.1
15,4,2.834
14,11,301.078
23,8,37.284
11,1,1.526
12,8,5.318
19,9,14.048
16,0,1.59
19,0,1.614
22,10,256.21
24,3,2.478
23,7,20.474
10,9,6.246
12,11,328.552
12,11,328.552
24,1,1.57
19,11,258.502
14,6,4.874
14,3,2.302
15,0,1.534
12,1,1.542
17,4,2.848
16,4,2.77
19,3,2.552
10,10,363.364
21,8,18.874
13,1,1.514
17,1,1.612
23,10,318.954
20,11,246.08
11,2,1.998
12,3,2.426
20,5,7.45
