WindowSize,CompressionLevel,Performance
22,2,2.05
24,10,392.744
13,6,4.3
10,2,2.146
18,8,9.684
23,9,63.68
15,2,1.972
19,10,258.558
14,3,2.302
11,7,5.078
11,2,1.998
23,3,2.478
16,2,2.026
18,2,2.094
21,5,7.272
10,7,4.874
14,4,2.894
13,2,1.942
12,3,2.426
11,7,5.078
23,6,10.22
17,2,2.102
19,6,9.336
23,3,2.478
21,10,244.734
12,7,5.266
12,6,3.846
22,2,2.05
22,2,2.05
24,10,392.744
22,1,1.586
13,6,4.3
23,10,318.954
19,6,9.336
18,6,7.51
16,0,1.59
21,9,23.614
24,2,2.04
18,11,279.692
18,4,2.824
15,5,5.072
24,2,2.04
23,8,37.284
16,5,5.392
13,6,4.3
17,8,8.454
13,8,5.62
19,0,1.614
16,3,2.508
13,8,5.62
16,6,5.77
16,8,7.548
19,3,2.552
16,1,1.598
22,3,2.5
21,2,2.06
22,9,34.292
18,1,1.63
20,6,10.658
10,2,2.146
13,8,5.62
15,6,5.306
16,5,5.392
13,0,1.514
23,2,2.032
16,0,1.59
22,3,2.5
18,1,1.63
13,7,5.554
16,8,7.548
18,10,279.698
10,6,3.386
23,2,2.032
16,6,5.77
19,11,258.502
16,5,5.392
13,3,2.37
23,2,2.032
14,5,4.678
17,6,6.34
22,7,19.626
16,0,1.59
23,2,2.032
18,3,2.562
15,10,291.618
22,11,259.594
16,5,5.392
17,10,307.144
14,6,4.874
16,6,5.77
11,9,6.286
20,11,246.08
16,9,9.094
10,2,2.146
16,2,2.026
11,0,1.526
23,2,2.032
23,6,10.22
15,2,1.972
23,1,1.572
