topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,4,10,1,0,1,10,1024,100,2,29,0.0150787847096
2,10,2,10,1,0,1000,10,1024,100,2,29,0.747589341765
2,10,4,10,1,1,1000,10,1024,100,2,0,0.856094495352
2,10,2,10,1,0,1,10,1024,100,2,0,0.0149072027649
2,10,2,10,10,1,1,10,512,100,2,0,0.148818740017
2,10,4,1000000,1,0,1,10,1024,100,5,0,0.00105808865884
4,10,2,1000000,1,0,1,10,512,100,5,0,0.000870165576577
4,10,2,1000000,10,1,1,10,512,100,2,0,0.000129367339241
4,10,4,1000000,10,1,1,10,1024,100,2,29,0.000970935925038
4,10,4,1000000,1,0,1000,10,1024,100,2,29,0.00710294780504
4,10,4,10,1,0,1000,10,512,100,2,0,0.697882324745
2,10,2,1000000,1,0,1000,10,1024,100,2,0,4.08528439707e-06
4,10,2,1000000,1,0,1,10,1024,100,5,0,0.000883783191234
4,10,2,10,1,0,1000,10,512,100,5,0,0.204465760551
4,10,2,10,1,0,1,10,1024,100,2,0,0.0147791971871
4,10,4,10,10,0,1,10,512,100,2,0,0.140114360728
4,1,2,10,10,0,1,10,512,100,2,29,0.144850567106
4,1,4,10,10,0,1,1000,512,10000,2,29,0.145472892095
2,1,4,10,10,1,1000,1000,512,10000,2,29,0.757221080612
2,1,4,10,1,1,1000,1000,512,10000,5,0,0.380353594982
4,1,4,10,1,1,1000,10,512,100,5,0,0.238260594845
4,1,2,10,1,1,1000,10,512,100,2,29,0.47932778007
4,1,4,1000000,1,1,1,10,512,100,2,29,0.00190782781343
4,1,4,1000000,1,0,1,10,1024,100,2,0,0.00201132168483
4,1,4,10,1,0,1,1000,1024,10000,2,0,0.0143802010777
4,10,2,1000000,1,0,1,1000,1024,10000,2,0,0.00294821357322
2,10,2,1000000,1,1,1,1000,512,10000,2,0,0.00246615001437
2,10,2,1000000,1,0,1,10,512,100,2,0,0.00259687911507
4,1,2,1000000,10,0,1,10,512,100,2,0,0.00502217628547
4,10,4,1000000,10,0,1000,10,512,100,2,0,0.000211073027182
4,10,2,10,1,0,1000,10,512,100,2,0,0.615695935006
4,10,2,10,10,0,1000,10,512,100,5,0,0.19164341459
4,1,2,10,10,1,1,10,512,100,5,0,0.0869443843
2,10,2,10,10,1,1000,10,512,100,5,0,0.312053086909
4,1,2,10,1,1,1,10,1024,100,5,29,0.0144292244905
2,1,2,10,1,1,1,1000,1024,10000,5,29,0.0151455110214
2,1,4,10,1,1,1,10,1024,100,5,29,0.0150188672051
4,1,4,10,1,1,1000,10,1024,100,2,29,0.736542732756
2,10,4,10,10,1,1,10,512,100,5,29,0.13338998261
2,1,4,10,1,1,1000,10,512,100,5,29,0.37962641436
2,10,4,10,1,1,1000,10,512,100,5,0,0.295318400257
4,10,4,1000000,1,1,1000,10,1024,100,5,0,0.000130729100706
2,10,2,1000000,1,1,1000,10,512,100,5,0,0.000162049614417
4,10,2,10,1,1,1000,10,1024,100,5,0,0.205380864256
2,10,2,10,1,1,1,10,1024,100,5,0,0.0146498298479
2,10,2,10,10,1,1,1000,1024,10000,5,0,0.135143931378
4,10,2,10,1,0,1,1000,1024,10000,5,0,0.0141132958304
4,1,2,10,10,1,1,1000,1024,10000,5,0,0.0880133670505
4,10,4,10,10,1,1000,1000,1024,10000,5,0,0.169648243396
2,1,4,10,1,1,1000,1000,1024,10000,5,0,0.371148087474
2,1,4,10,10,1,1,1000,1024,10000,2,0,0.149349826988
2,1,4,10,1,1,1000,1000,1024,10000,2,29,0.976747922973
2,10,2,10,1,1,1,1000,1024,10000,2,0,0.0147737501413
2,10,2,10,1,1,1,10,1024,100,2,29,0.0147424296276
2,1,4,10,1,1,1,10,1024,100,5,29,0.0150188672051
2,1,4,10,1,1,1,1000,1024,10000,2,29,0.0147356208202
4,1,4,10,1,0,1,1000,512,10000,2,29,0.0151700227278
4,10,4,1000000,1,0,1,1000,512,10000,5,29,0.000881059668302
2,10,2,1000000,1,0,1,1000,512,10000,2,29,0.00250155581247
2,10,2,1000000,1,1,1,1000,1024,10000,2,0,0.0024171266016
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,10,2,10,1,0,1,1000,1024,10000,2,0,0.0146511916094
2,10,2,10,1,0,1,1000,512,10000,5,29,0.0148731587283
2,1,2,10,1,1,1,1000,512,10000,5,0,0.0147710266184
2,1,4,10,1,0,1,1000,1024,10000,5,0,0.0150542730032
4,1,4,10,10,0,1000,1000,1024,10000,5,0,0.183366628401
2,1,4,10,10,0,1,1000,1024,10000,2,29,0.149129221631
4,10,4,10,10,0,1,1000,1024,10000,2,0,0.142342202486
2,10,4,10,1,1,1,1000,1024,10000,2,0,0.0147819207101
2,10,2,10,10,1,1,1000,1024,10000,2,29,0.14982508174
2,10,2,10,1,0,1,1000,512,10000,2,29,0.0152544519387
2,10,2,10,10,0,1000,1000,512,10000,2,0,0.765875074727
4,10,2,10,1,0,1,1000,512,10000,5,0,0.0145504212609
4,10,4,10,10,0,1,1000,1024,10000,5,0,0.078549124864
4,1,4,10,1,1,1,1000,512,10000,5,0,0.0146634474626
4,1,4,1000000,1,0,1,1000,512,10000,5,29,0.000867442053645
4,1,2,1000000,1,0,1000,1000,1024,10000,5,29,8.17056879415e-06
4,1,2,10,10,0,1000,1000,1024,10000,5,0,0.20817247526
2,1,2,10,10,0,1000,10,1024,100,5,0,0.333179454288
2,1,4,10,1,0,1000,10,512,100,5,0,0.373795351763
4,1,4,10,1,0,1,10,512,100,5,29,0.0147614942881
2,1,4,10,1,1,1,10,1024,100,5,29,0.0150188672051
4,1,2,10,1,0,1,10,1024,100,5,29,0.0144823331876
2,10,2,10,1,1,1,10,1024,100,5,29,0.0148323058843
4,1,2,10,1,1,1,10,1024,100,5,0,0.0144809714262
2,10,2,10,1,1,1,10,1024,100,2,0,0.0148717969668
2,10,2,10,1,1,1000,10,512,100,2,29,0.773247651302
4,1,4,10,1,1,1,10,1024,100,2,0,0.0146212328571
4,1,2,10,1,0,1,10,1024,100,5,0,0.0145722094444
4,10,2,1000000,1,0,1,10,1024,100,5,29,0.000823865686743
4,10,4,10,1,0,1,10,1024,100,5,0,0.0145027596096
4,1,4,1000000,1,1,1,10,1024,100,5,0,0.000859271484851
4,1,4,1000000,1,1,1,10,512,100,2,29,0.00190782781343
4,10,4,1000000,10,1,1,10,1024,100,2,29,0.000970935925038
4,10,2,1000000,1,1,1,10,512,100,2,29,0.00292642538977
4,10,2,1000000,1,0,1,10,1024,100,2,0,0.00286378436235
4,1,2,1000000,1,0,1,1000,1024,10000,2,0,0.00323145995808
4,1,4,10,1,0,1000,1000,1024,10000,2,0,0.742192681077
4,1,2,10,1,1,1,1000,1024,10000,5,0,0.0145871888205
