WindowSize,CompressionLevel,Performance
10,1,1.666
13,2,1.942
16,7,6.998
18,10,279.698
13,5,4.128
20,2,2.088
22,0,1.596
11,1,1.526
18,3,2.562
24,5,7.154
17,10,307.144
23,1,1.572
14,5,4.678
18,1,1.63
15,11,292.192
10,8,5.046
18,9,11.954
19,3,2.552
11,0,1.526
20,1,1.636
10,3,2.616
23,3,2.478
19,4,2.8
19,7,10.05
21,2,2.06
23,10,318.954
21,1,1.598
22,1,1.586
10,3,2.616
16,1,1.598
23,9,63.68
20,0,1.63
20,3,2.546
21,2,2.06
22,1,1.586
18,0,1.628
21,8,18.874
15,1,1.52
19,1,1.604
21,7,15.806
11,1,1.526
22,10,256.21
21,1,1.598
22,11,259.594
13,0,1.514
15,8,6.738
15,2,1.972
12,1,1.542
11,0,1.526
22,1,1.586
11,11,343.996
15,0,1.534
19,1,1.604
15,7,6.39
24,1,1.57
24,1,1.57
21,1,1.598
18,1,1.63
15,4,2.834
14,0,1.472
14,0,1.472
24,0,1.574
22,1,1.586
15,0,1.534
13,1,1.514
19,1,1.604
20,0,1.63
12,4,3.004
24,3,2.478
15,0,1.534
18,1,1.63
11,3,2.476
14,4,2.894
12,0,1.528
11,7,5.078
14,7,5.896
19,1,1.604
15,11,292.192
15,3,2.392
11,6,3.57
15,1,1.52
11,11,343.996
11,11,343.996
12,1,1.542
10,0,1.662
24,1,1.57
14,2,1.9
11,11,343.996
14,11,301.078
16,0,1.59
24,1,1.57
14,6,4.874
18,0,1.628
11,0,1.526
13,1,1.514
13,5,4.128
23,0,1.556
11,0,1.526
11,6,3.57
23,1,1.572
