WindowSize,CompressionLevel,Performance
20,0,1.63
12,1,1.542
11,11,343.996
17,5,5.886
22,8,25.432
17,11,307.42
14,1,1.46
21,9,23.614
17,11,307.42
14,2,1.9
17,4,2.848
23,0,1.556
12,8,5.318
24,0,1.574
13,6,4.3
17,8,8.454
14,11,301.078
12,4,3.004
13,9,6.862
16,2,2.026
21,5,7.272
18,0,1.628
23,3,2.478
24,3,2.478
20,8,14.64
13,7,5.554
19,4,2.8
13,2,1.942
12,4,3.004
18,1,1.63
12,5,3.746
13,1,1.514
24,1,1.57
24,10,392.744
22,1,1.586
12,1,1.542
22,1,1.586
10,1,1.666
12,6,3.846
15,1,1.52
24,3,2.478
22,4,2.748
13,11,315.078
15,9,8.084
10,4,3.02
22,6,10.266
10,1,1.666
16,1,1.598
12,8,5.318
16,3,2.508
14,1,1.46
10,0,1.662
14,9,7.404
15,3,2.392
14,2,1.9
22,2,2.05
23,1,1.572
16,1,1.598
13,4,2.972
20,5,7.45
20,1,1.636
22,1,1.586
24,0,1.574
14,7,5.896
23,1,1.572
17,1,1.612
13,1,1.514
16,1,1.598
22,3,2.5
18,1,1.63
22,0,1.596
14,7,5.896
14,1,1.46
12,8,5.318
10,1,1.666
13,6,4.3
19,0,1.614
14,6,4.874
24,1,1.57
12,1,1.542
14,11,301.078
17,1,1.612
17,0,1.606
12,1,1.542
13,1,1.514
14,4,2.894
11,1,1.526
22,1,1.586
14,6,4.874
13,9,6.862
10,1,1.666
11,11,343.996
23,1,1.572
18,1,1.63
13,5,4.128
13,9,6.862
14,8,6.086
22,1,1.586
15,10,291.618
13,10,313.652
