WindowSize,CompressionLevel,Performance
13,10,313.652
15,8,6.738
14,0,1.472
18,3,2.562
10,5,3.306
24,6,10.176
12,0,1.528
22,2,2.05
15,1,1.52
14,9,7.404
18,6,7.51
15,7,6.39
18,1,1.63
11,3,2.476
23,8,37.284
17,11,307.42
12,9,6.47
17,8,8.454
22,3,2.5
20,1,1.636
15,8,6.738
12,7,5.266
10,0,1.662
19,0,1.614
18,10,279.698
23,0,1.556
24,1,1.57
23,0,1.556
20,11,246.08
23,10,318.954
12,5,3.746
15,1,1.52
22,8,25.432
15,6,5.306
15,4,2.834
15,11,292.192
23,7,20.474
21,1,1.598
23,7,20.474
18,7,8.628
22,6,10.266
17,0,1.606
22,8,25.432
10,0,1.662
23,8,37.284
20,0,1.63
14,0,1.472
19,11,258.502
14,5,4.678
23,3,2.478
17,0,1.606
12,11,328.552
17,0,1.606
15,1,1.52
24,6,10.176
24,0,1.574
23,0,1.556
11,0,1.526
15,0,1.534
23,1,1.572
15,3,2.392
15,0,1.534
15,2,1.972
19,1,1.604
19,7,10.05
21,0,1.604
16,0,1.59
22,1,1.586
22,2,2.05
15,1,1.52
14,0,1.472
14,2,1.9
23,1,1.572
15,0,1.534
14,1,1.46
15,10,291.618
12,1,1.542
14,8,6.086
18,0,1.628
15,6,5.306
24,1,1.57
13,0,1.514
21,1,1.598
14,1,1.46
13,5,4.128
17,0,1.606
10,1,1.666
11,1,1.526
16,0,1.59
18,1,1.63
14,1,1.46
14,11,301.078
14,1,1.46
14,3,2.302
18,1,1.63
17,1,1.612
14,8,6.086
12,1,1.542
14,6,4.874
19,0,1.614
