WindowSize,CompressionLevel,Performance
21,1,1.598
11,1,1.526
17,10,307.144
23,7,20.474
24,7,20.228
23,8,37.284
20,0,1.63
16,1,1.598
16,6,5.77
19,3,2.552
10,2,2.146
17,8,8.454
15,4,2.834
18,5,6.714
14,8,6.086
23,4,2.726
13,10,313.652
15,10,291.618
20,4,2.808
22,7,19.626
20,7,12.338
19,6,9.336
24,4,2.708
15,6,5.306
21,4,2.768
20,0,1.63
12,6,3.846
16,9,9.094
10,2,2.146
10,9,6.246
20,2,2.088
23,1,1.572
10,10,363.364
21,1,1.598
20,0,1.63
11,6,3.57
20,7,12.338
20,11,246.08
19,9,14.048
23,1,1.572
23,10,318.954
21,1,1.598
23,11,315.238
16,10,285.0
24,0,1.574
20,8,14.64
19,0,1.614
15,1,1.52
21,9,23.614
24,7,20.228
13,0,1.514
21,5,7.272
10,3,2.616
23,9,63.68
19,0,1.614
23,1,1.572
22,1,1.586
15,5,5.072
15,10,291.618
20,1,1.636
11,6,3.57
23,1,1.572
23,2,2.032
20,0,1.63
22,1,1.586
11,4,3.04
16,0,1.59
23,2,2.032
13,1,1.514
23,1,1.572
13,1,1.514
22,11,259.594
23,1,1.572
15,9,8.084
16,1,1.598
15,2,1.972
24,1,1.57
23,9,63.68
16,1,1.598
13,10,313.652
11,1,1.526
11,6,3.57
13,0,1.514
16,0,1.59
22,1,1.586
21,0,1.604
24,0,1.574
17,1,1.612
21,1,1.598
13,4,2.972
13,10,313.652
16,0,1.59
23,11,315.238
11,11,343.996
11,5,3.49
22,1,1.586
11,0,1.526
24,4,2.708
11,0,1.526
13,1,1.514
