WindowSize,CompressionLevel,Performance
10,9,6.246
15,8,6.738
22,7,19.626
10,6,3.386
17,3,2.564
19,10,258.558
22,6,10.266
19,1,1.604
18,4,2.824
24,8,38.644
23,1,1.572
10,5,3.306
16,1,1.598
16,1,1.598
18,6,7.51
17,11,307.42
12,0,1.528
20,8,14.64
16,2,2.026
24,0,1.574
24,1,1.57
19,1,1.604
20,1,1.636
23,3,2.478
16,9,9.094
10,6,3.386
16,11,284.296
18,5,6.714
16,1,1.598
21,1,1.598
14,1,1.46
24,7,20.228
18,1,1.63
16,0,1.59
14,11,301.078
16,1,1.598
16,8,7.548
16,0,1.59
14,7,5.896
24,2,2.04
17,1,1.612
21,1,1.598
14,2,1.9
23,8,37.284
24,9,108.602
19,10,258.558
18,1,1.63
10,1,1.666
14,1,1.46
20,1,1.636
13,1,1.514
10,0,1.662
14,1,1.46
23,7,20.474
14,7,5.896
19,1,1.604
21,1,1.598
11,1,1.526
19,2,2.1
14,5,4.678
22,0,1.596
23,0,1.556
14,11,301.078
14,9,7.404
12,6,3.846
14,11,301.078
13,0,1.514
13,8,5.62
21,1,1.598
17,1,1.612
22,10,256.21
23,1,1.572
21,1,1.598
14,1,1.46
23,4,2.726
14,9,7.404
13,2,1.942
12,11,328.552
24,11,394.158
17,1,1.612
12,1,1.542
23,1,1.572
13,4,2.972
20,1,1.636
23,1,1.572
23,8,37.284
23,9,63.68
14,9,7.404
11,0,1.526
20,1,1.636
12,6,3.846
23,8,37.284
17,1,1.612
13,1,1.514
14,0,1.472
12,6,3.846
19,1,1.604
23,1,1.572
14,10,301.488
17,1,1.612
