WindowSize,CompressionLevel,Performance
21,6,10.46
17,2,2.102
21,0,1.604
13,6,4.3
10,2,2.146
11,6,3.57
17,9,10.152
10,1,1.666
21,3,2.512
17,4,2.848
20,11,246.08
14,8,6.086
19,3,2.552
20,5,7.45
21,5,7.272
13,4,2.972
23,7,20.474
14,7,5.896
10,6,3.386
22,10,256.21
10,4,3.02
22,6,10.266
19,9,14.048
21,10,244.734
13,6,4.3
21,9,23.614
10,7,4.874
19,5,7.372
21,6,10.46
17,0,1.606
10,2,2.146
15,3,2.392
13,9,6.862
16,3,2.508
10,3,2.616
13,1,1.514
16,0,1.59
14,3,2.302
10,8,5.046
10,3,2.616
16,3,2.508
22,2,2.05
22,2,2.05
13,7,5.554
22,2,2.05
12,3,2.426
14,1,1.46
17,0,1.606
16,10,285.0
14,1,1.46
13,2,1.942
17,1,1.612
12,2,1.988
22,1,1.586
20,1,1.636
22,0,1.596
22,0,1.596
22,0,1.596
14,4,2.894
17,11,307.42
22,2,2.05
13,0,1.514
13,1,1.514
24,1,1.57
15,0,1.534
21,0,1.604
13,7,5.554
21,5,7.272
14,8,6.086
22,11,259.594
13,5,4.128
13,5,4.128
16,8,7.548
16,1,1.598
21,0,1.604
11,1,1.526
23,1,1.572
23,1,1.572
24,0,1.574
16,1,1.598
24,11,394.158
11,3,2.476
20,1,1.636
14,4,2.894
19,0,1.614
15,0,1.534
19,1,1.604
23,1,1.572
15,4,2.834
10,0,1.662
24,3,2.478
14,1,1.46
18,1,1.63
15,1,1.52
13,1,1.514
11,10,343.594
17,0,1.606
24,0,1.574
23,1,1.572
13,11,315.078
