WindowSize,CompressionLevel,Performance
13,1,1.514
21,6,10.46
13,2,1.942
17,8,8.454
20,1,1.636
10,11,363.346
15,3,2.392
14,9,7.404
21,2,2.06
18,2,2.094
15,9,8.084
10,5,3.306
10,3,2.616
19,6,9.336
14,1,1.46
11,3,2.476
11,6,3.57
20,7,12.338
17,7,7.636
19,5,7.372
13,1,1.514
10,9,6.246
20,3,2.546
16,1,1.598
10,4,3.02
11,1,1.526
13,4,2.972
15,7,6.39
11,9,6.286
13,4,2.972
14,6,4.874
13,0,1.514
13,0,1.514
24,1,1.57
14,11,301.078
18,1,1.63
13,8,5.62
24,1,1.57
14,1,1.46
20,6,10.658
18,3,2.562
13,0,1.514
14,0,1.472
14,5,4.678
13,4,2.972
19,1,1.604
22,0,1.596
18,3,2.562
14,8,6.086
23,1,1.572
11,10,343.594
13,6,4.3
19,1,1.604
14,2,1.9
18,5,6.714
22,0,1.596
24,0,1.574
16,1,1.598
24,10,392.744
10,1,1.666
13,5,4.128
16,0,1.59
14,11,301.078
24,6,10.176
14,0,1.472
13,7,5.554
14,5,4.678
14,7,5.896
22,4,2.748
14,7,5.896
10,1,1.666
14,2,1.9
13,1,1.514
13,9,6.862
13,8,5.62
13,8,5.62
13,1,1.514
10,1,1.666
14,7,5.896
13,8,5.62
22,10,256.21
13,1,1.514
11,0,1.526
20,1,1.636
14,1,1.46
13,1,1.514
14,4,2.894
21,0,1.604
13,4,2.972
16,0,1.59
13,3,2.37
10,0,1.662
13,1,1.514
13,6,4.3
17,0,1.606
13,7,5.554
13,11,315.078
13,0,1.514
13,3,2.37
15,1,1.52
