WindowSize,CompressionLevel,Performance
22,5,7.198
21,10,244.734
13,1,1.514
10,2,2.146
24,3,2.478
22,4,2.748
11,0,1.526
13,0,1.514
11,8,5.042
18,1,1.63
13,6,4.3
23,0,1.556
13,4,2.972
20,7,12.338
14,4,2.894
18,4,2.824
18,7,8.628
21,10,244.734
16,2,2.026
20,0,1.63
19,8,11.508
18,5,6.714
13,3,2.37
23,0,1.556
22,1,1.586
20,6,10.658
10,10,363.364
16,3,2.508
20,1,1.636
13,0,1.514
18,10,279.698
22,0,1.596
19,2,2.1
13,9,6.862
24,0,1.574
22,0,1.596
18,4,2.824
20,7,12.338
17,0,1.606
13,9,6.862
22,5,7.198
18,0,1.628
18,0,1.628
22,4,2.748
22,5,7.198
13,0,1.514
23,8,37.284
22,7,19.626
23,9,63.68
23,1,1.572
19,0,1.614
19,8,11.508
22,1,1.586
23,0,1.556
18,1,1.63
13,3,2.37
24,0,1.574
22,0,1.596
22,0,1.596
23,4,2.726
22,1,1.586
13,0,1.514
13,3,2.37
22,6,10.266
15,1,1.52
24,6,10.176
11,0,1.526
13,6,4.3
23,9,63.68
12,0,1.528
10,0,1.662
13,0,1.514
11,11,343.996
24,5,7.154
24,9,108.602
13,7,5.554
13,2,1.942
10,0,1.662
13,7,5.554
13,9,6.862
15,8,6.738
11,9,6.286
13,8,5.62
21,0,1.604
17,0,1.606
13,0,1.514
15,2,1.972
11,1,1.526
13,10,313.652
24,0,1.574
11,1,1.526
19,1,1.604
15,0,1.534
21,1,1.598
18,0,1.628
22,1,1.586
11,11,343.996
14,0,1.472
17,1,1.612
21,0,1.604
