WindowSize,CompressionLevel,Performance
11,4,3.04
14,10,301.488
11,1,1.526
21,11,244.72
10,2,2.146
13,0,1.514
24,8,38.644
22,3,2.5
18,3,2.562
20,10,246.512
18,7,8.628
18,7,8.628
17,0,1.606
19,5,7.372
12,0,1.528
24,4,2.708
22,6,10.266
21,2,2.06
15,8,6.738
16,3,2.508
11,1,1.526
15,0,1.534
11,11,343.996
11,7,5.078
11,9,6.286
16,7,6.998
13,5,4.128
12,0,1.528
19,0,1.614
10,4,3.02
12,7,5.266
13,4,2.972
13,10,313.652
19,4,2.8
11,0,1.526
17,0,1.606
11,4,3.04
11,5,3.49
17,0,1.606
12,6,3.846
21,0,1.604
23,0,1.556
17,0,1.606
13,4,2.972
15,0,1.534
18,0,1.628
11,4,3.04
11,2,1.998
13,3,2.37
10,0,1.662
14,0,1.472
11,0,1.526
17,0,1.606
11,1,1.526
18,0,1.628
13,9,6.862
12,1,1.542
11,3,2.476
24,0,1.574
11,7,5.078
16,1,1.598
10,1,1.666
22,0,1.596
11,0,1.526
11,7,5.078
11,11,343.996
17,0,1.606
15,1,1.52
11,7,5.078
15,0,1.534
14,1,1.46
13,6,4.3
15,10,291.618
20,0,1.63
16,0,1.59
11,1,1.526
14,4,2.894
11,10,343.594
11,1,1.526
11,4,3.04
11,6,3.57
10,0,1.662
23,1,1.572
11,11,343.996
11,3,2.476
18,1,1.63
11,11,343.996
15,7,6.39
14,0,1.472
12,1,1.542
21,1,1.598
15,1,1.52
15,0,1.534
24,0,1.574
11,9,6.286
11,4,3.04
14,3,2.302
15,6,5.306
14,5,4.678
14,9,7.404
