WindowSize,CompressionLevel,Performance
14,3,2.302
10,7,4.874
15,0,1.534
14,0,1.472
10,9,6.246
15,3,2.392
18,0,1.628
24,10,392.744
12,7,5.266
23,11,315.238
11,11,343.996
19,2,2.1
19,3,2.552
23,2,2.032
21,0,1.604
10,6,3.386
18,8,9.684
20,2,2.088
12,5,3.746
20,5,7.45
19,0,1.614
19,2,2.1
19,7,10.05
13,2,1.942
11,2,1.998
15,5,5.072
10,1,1.666
10,7,4.874
10,5,3.306
21,0,1.604
13,5,4.128
19,2,2.1
14,11,301.078
11,2,1.998
19,0,1.614
10,0,1.662
23,0,1.556
19,7,10.05
14,8,6.086
18,0,1.628
18,4,2.824
21,2,2.06
21,2,2.06
21,8,18.874
14,7,5.896
10,0,1.662
10,0,1.662
10,1,1.666
10,3,2.616
11,0,1.526
17,0,1.606
19,0,1.614
10,0,1.662
12,0,1.528
10,0,1.662
21,8,18.874
22,0,1.596
23,6,10.22
17,0,1.606
11,0,1.526
14,0,1.472
20,0,1.63
18,0,1.628
24,0,1.574
13,0,1.514
15,0,1.534
14,8,6.086
24,0,1.574
20,0,1.63
24,0,1.574
12,0,1.528
11,0,1.526
13,10,313.652
18,0,1.628
20,0,1.63
13,9,6.862
14,0,1.472
12,0,1.528
17,0,1.606
14,0,1.472
20,0,1.63
14,11,301.078
14,4,2.894
14,2,1.9
14,9,7.404
16,0,1.59
23,0,1.556
16,0,1.59
17,0,1.606
21,0,1.604
12,10,328.816
15,2,1.972
22,0,1.596
14,0,1.472
12,4,3.004
14,0,1.472
16,0,1.59
14,0,1.472
14,5,4.678
15,0,1.534
