WindowSize,CompressionLevel,Performance
13,0,1.514
22,0,1.596
24,9,108.602
21,0,1.604
15,3,2.392
14,8,6.086
19,2,2.1
21,6,10.46
17,11,307.42
11,9,6.286
19,6,9.336
14,0,1.472
24,7,20.228
21,2,2.06
24,6,10.176
12,2,1.988
13,3,2.37
16,5,5.392
21,8,18.874
14,11,301.078
11,5,3.49
14,3,2.302
22,4,2.748
16,0,1.59
20,0,1.63
14,3,2.302
16,2,2.026
12,1,1.542
15,1,1.52
16,0,1.59
15,5,5.072
21,9,23.614
14,10,301.488
21,0,1.604
23,2,2.032
16,7,6.998
21,6,10.46
10,0,1.662
20,1,1.636
16,3,2.508
15,0,1.534
15,9,8.084
19,0,1.614
12,2,1.988
10,8,5.046
19,0,1.614
15,4,2.834
13,10,313.652
12,11,328.552
15,3,2.392
15,3,2.392
19,0,1.614
12,1,1.542
14,2,1.9
15,4,2.834
13,0,1.514
22,1,1.586
18,0,1.628
14,1,1.46
15,1,1.52
14,2,1.9
23,1,1.572
17,0,1.606
16,1,1.598
13,5,4.128
16,6,5.77
12,4,3.004
13,2,1.942
12,1,1.542
13,2,1.942
10,0,1.662
17,1,1.612
15,7,6.39
17,0,1.606
15,0,1.534
15,1,1.52
18,0,1.628
15,1,1.52
14,3,2.302
14,2,1.9
12,11,328.552
12,9,6.47
10,0,1.662
19,1,1.604
17,0,1.606
15,4,2.834
12,8,5.318
15,8,6.738
14,10,301.488
15,1,1.52
15,2,1.972
15,6,5.306
24,0,1.574
20,1,1.636
19,0,1.614
22,1,1.586
13,8,5.62
19,0,1.614
23,1,1.572
14,0,1.472
