WindowSize,CompressionLevel,Performance
20,6,10.658
16,7,6.998
20,6,10.658
24,11,394.158
18,11,279.692
16,9,9.094
18,8,9.684
16,10,285.0
19,6,9.336
12,10,328.816
12,6,3.846
14,10,301.488
11,0,1.526
21,4,2.768
23,0,1.556
10,10,363.364
13,2,1.942
16,11,284.296
19,5,7.372
23,10,318.954
21,6,10.46
14,2,1.9
12,6,3.846
20,9,17.4
14,6,4.874
18,6,7.51
11,4,3.04
11,7,5.078
11,5,3.49
13,5,4.128
14,9,7.404
13,0,1.514
19,5,7.372
10,0,1.662
13,11,315.078
12,3,2.426
14,3,2.302
15,2,1.972
11,6,3.57
10,0,1.662
11,9,6.286
15,1,1.52
12,3,2.426
10,10,363.364
15,4,2.834
14,2,1.9
11,11,343.996
12,2,1.988
13,2,1.942
15,0,1.534
12,2,1.988
14,1,1.46
23,2,2.032
11,2,1.998
20,1,1.636
12,0,1.528
20,4,2.808
10,5,3.306
13,4,2.972
14,7,5.896
14,3,2.302
18,0,1.628
13,5,4.128
23,4,2.726
11,0,1.526
14,4,2.894
20,4,2.808
10,1,1.666
19,0,1.614
14,0,1.472
18,2,2.094
23,3,2.478
14,1,1.46
12,9,6.47
19,1,1.604
13,1,1.514
19,7,10.05
12,0,1.528
10,1,1.666
11,1,1.526
13,1,1.514
13,11,315.078
15,7,6.39
24,1,1.57
13,8,5.62
18,0,1.628
22,1,1.586
22,1,1.586
14,4,2.894
10,1,1.666
16,0,1.59
15,0,1.534
12,1,1.542
23,4,2.726
14,0,1.472
13,6,4.3
15,4,2.834
14,8,6.086
14,1,1.46
13,1,1.514
