new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,3,3,0,1,1,1,0,0,0,49.978
1,2,3,1,1,1,1,0,1,0,111.342
4,3,2,1,1,1,1,0,0,0,47.44
4,3,1,0,1,1,1,0,1,0,42.338
4,3,1,0,0,1,1,1,0,0,53.248
4,2,1,0,1,1,1,0,0,0,35.282
4,2,1,0,1,0,0,1,0,0,36.118
3,2,1,1,1,1,0,1,0,0,46.24
3,3,1,0,0,0,0,1,0,0,67.154
3,3,1,0,1,1,0,1,0,0,66.914
2,2,1,0,1,1,0,0,0,0,64.254
4,3,1,0,0,0,0,1,0,1,49.322
4,2,1,1,1,0,1,0,0,0,33.316
3,3,1,0,1,0,1,0,0,0,68.952
4,2,1,0,1,1,1,1,0,0,38.178
3,2,1,0,0,1,1,0,0,0,50.22
4,3,1,1,1,1,1,0,0,0,46.726
4,1,2,1,1,1,1,0,0,1,22.816
1,3,2,1,1,1,1,0,0,0,171.186
4,1,2,0,1,1,1,1,0,0,24.902
1,2,3,1,1,1,1,0,0,1,123.538
4,1,2,0,1,0,0,0,0,1,23.924
4,3,1,0,0,0,0,0,0,1,45.34
1,1,2,0,1,0,1,0,0,0,85.326
4,1,2,0,0,0,0,1,0,0,25.16
4,1,2,0,0,0,1,0,0,1,24.672
4,1,2,0,1,0,1,1,0,0,24.78
2,1,1,1,1,0,1,1,0,0,45.842
3,1,3,1,1,0,1,1,0,0,31.396
3,3,3,1,0,0,1,0,0,0,67.752
3,1,3,1,1,0,0,0,0,1,30.138
1,1,3,1,1,1,0,0,1,1,79.862
3,1,1,0,1,0,0,0,0,0,31.298
3,1,1,1,0,1,0,0,0,0,29.586
3,2,1,1,0,1,1,1,0,0,51.016
3,1,1,0,1,1,0,0,0,1,31.01
1,2,1,0,0,1,0,0,0,0,122.898
3,1,1,1,0,1,1,1,1,0,32.082
3,1,1,0,0,1,0,1,1,1,33.928
3,1,1,1,0,1,0,0,1,0,29.604
3,1,3,1,0,1,1,0,0,0,31.134
3,2,3,1,0,0,0,0,0,0,44.022
3,1,3,0,1,1,0,0,0,0,31.978
3,1,2,0,1,0,0,0,0,1,31.104
3,1,3,1,1,0,0,0,0,0,29.798
3,1,3,0,0,0,0,0,0,1,32.286
3,3,3,0,1,0,0,1,0,0,66.494
4,1,3,1,1,0,1,1,0,0,23.002
4,3,3,0,1,0,1,1,1,0,44.512
4,1,1,0,1,0,1,1,1,0,25.014
1,1,2,1,1,1,1,1,0,0,86.776
3,2,3,1,1,1,1,1,0,0,50.296
4,1,3,1,0,0,1,0,1,0,23.864
4,2,3,1,0,0,1,1,0,0,35.914
4,3,3,1,0,0,0,1,1,0,39.576
4,3,1,1,0,0,0,0,1,0,37.512
1,1,3,1,0,0,1,0,0,1,82.914
4,3,3,1,1,0,1,0,0,0,47.858
4,1,1,1,1,0,1,0,0,0,22.018
4,1,1,1,0,0,0,0,1,0,22.452
4,1,3,0,0,0,0,0,0,0,24.974
4,2,1,1,1,1,0,0,1,0,28.338
4,2,1,1,0,0,0,1,1,1,30.422
2,2,1,1,0,0,0,0,0,0,61.57
4,1,2,1,0,1,1,0,1,0,23.338
1,3,2,1,1,1,1,0,1,0,149.878
2,2,2,1,1,1,1,0,1,0,59.27
4,2,2,1,1,0,1,0,1,0,30.84
3,1,2,0,0,1,1,1,1,0,33.988
4,2,2,1,0,1,1,1,0,0,36.488
4,1,3,0,1,1,1,0,1,0,24.628
4,1,1,0,0,1,1,1,1,0,25.096
4,1,1,1,1,1,0,1,1,0,23.212
4,3,1,1,0,1,0,1,0,0,47.058
1,1,1,0,1,1,0,1,1,1,93.292
4,1,1,0,0,1,0,0,1,0,23.478
4,1,1,0,1,0,0,0,0,0,23.776
1,1,1,0,1,1,1,0,0,0,84.826
2,1,1,0,1,0,1,1,0,0,49.298
4,1,1,0,1,0,0,1,1,1,24.78
4,1,1,0,1,0,1,1,1,0,25.014
2,1,3,1,1,0,0,0,0,0,42.996
4,1,3,0,1,0,1,0,1,0,24.83
4,1,1,1,1,1,0,0,0,1,21.65
4,1,1,0,0,1,0,1,0,1,25.246
4,1,2,1,1,1,1,0,1,1,22.664
3,1,1,0,0,1,0,0,0,1,31.208
2,3,2,1,1,1,0,0,0,1,83.222
2,3,2,1,1,1,0,0,0,1,83.222
4,1,3,0,1,1,0,1,0,1,24.904
4,1,1,1,1,1,1,1,1,1,23.546
4,2,1,0,1,1,0,0,0,0,33.598
4,1,1,0,1,1,0,1,1,1,24.708
2,1,1,1,1,0,0,0,1,1,41.722
4,1,1,0,0,1,1,0,0,1,24.206
2,1,3,1,0,1,0,0,0,1,43.918
4,2,1,1,0,0,0,0,0,1,31.72
4,1,1,1,1,1,1,1,1,1,23.546
1,1,1,1,0,1,0,1,0,1,88.912
