topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,10,10,1,1,10,1024,100,5,29,0.135583780332
4,1,4,10,1,0,1000,1000,1024,10000,5,29,0.2480298716
4,1,2,10,1,1,1,10,512,10000,5,29,2.0
2,10,4,1000000,1,0,1000,1000,512,10000,2,29,2.0
4,10,2,10,1,0,1,10,1024,100,2,29,0.0146280416645
4,10,4,10,1,0,1000,1000,1024,10000,5,0,0.214959494405
4,10,2,10,1,0,1,10,512,10000,5,0,2.0
4,1,4,1000000,10,0,1,10,1024,10000,5,0,2.0
4,10,2,10,10,1,1000,10,512,10000,2,29,2.0
2,1,4,1000000,10,0,1,1000,1024,100,2,29,2.0
4,1,4,1000000,1,0,1,1000,512,10000,2,29,0.00188876315291
4,10,2,10,10,0,1000,10,512,10000,5,0,2.0
2,1,4,10,10,1,1,10,1024,100,5,29,0.138862901941
2,10,2,10,1,0,1000,1000,1024,100,2,29,2.0
2,10,4,10,1,0,1000,10,1024,10000,5,29,2.0
4,1,2,10,1,0,1000,10,1024,100,5,0,0.235193908024
4,1,2,1000000,10,0,1,1000,512,10000,5,29,0.0010635357047
2,10,4,1000000,1,0,1000,10,1024,10000,2,29,2.0
2,1,4,1000000,10,1,1000,1000,512,100,2,0,2.0
2,10,4,1000000,1,1,1000,1000,1024,10000,5,29,2.0
2,10,4,1000000,1,1,1,10,512,100,2,29,0.00249883228954
2,10,4,10,10,0,1,1000,1024,100,5,0,2.0
4,10,2,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,2,1000000,1,1,1000,1000,1024,100,2,0,2.0
4,10,2,10,10,1,1000,1000,1024,100,2,29,2.0
2,10,4,10,10,0,1000,10,512,100,2,29,0.763769791501
2,10,4,10,10,0,1000,1000,512,10000,2,29,0.74351495146
2,1,2,1000000,1,1,1000,1000,512,10000,5,29,4.08528439707e-05
2,10,4,1000000,10,0,1000,10,1024,10000,5,29,2.0
2,1,2,1000000,1,0,1,10,1024,10000,2,29,2.0
2,10,2,10,1,0,1000,10,512,100,5,29,0.283510566588
2,1,4,10,10,1,1,1000,512,100,5,29,2.0
2,1,4,1000000,1,0,1,1000,512,10000,2,0,0.00138763493354
2,10,4,1000000,1,0,1000,10,1024,100,5,0,0.00017702899054
4,10,4,10,1,0,1,10,1024,10000,2,29,2.0
4,1,4,10,1,0,1000,1000,512,100,5,29,2.0
2,1,4,10,1,1,1000,1000,1024,10000,5,0,0.371148087474
2,1,2,10,1,1,1,10,1024,100,5,0,0.0150283995354
2,1,4,10,1,1,1000,10,1024,100,2,29,0.952981100113
2,1,2,10,1,0,1,10,1024,10000,2,0,2.0
4,10,2,10,1,0,1000,1000,512,100,5,29,2.0
2,1,2,1000000,1,0,1,10,512,100,5,29,2.0
2,10,4,10,1,1,1,10,1024,100,2,29,0.0148037088935
4,10,2,1000000,10,0,1000,10,1024,10000,5,29,2.0
2,1,2,10,1,0,1,10,512,100,5,0,0.0150175054436
2,1,4,1000000,1,0,1,10,1024,100,5,0,0.000842930347263
4,10,2,1000000,1,0,1000,1000,512,100,2,0,2.0
4,1,2,10,1,0,1000,1000,512,100,5,0,2.0
