new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,0,0,1,20,4,8,80985.8
5,0,1,0,0,30,4,6,47608.8
1,1,0,0,0,20,32,10,98610.2
5,1,1,0,1,20,1024,4,9168.4
3,0,1,0,1,30,2,4,13085.6
5,1,1,1,0,60,2048,10,301641.6
1,0,1,0,0,70,256,0,17684.2
5,0,1,1,0,20,2048,2,9204.0
4,0,1,0,1,10,256,6,21803.0
5,1,0,0,0,60,16,4,9233.8
2,1,1,1,0,30,4,2,17625.4
1,0,1,0,1,30,32,4,11905.2
2,0,1,0,1,70,2048,6,84921.2
5,1,1,0,0,0,2,6,47381.2
1,0,0,1,0,50,2048,0,17751.8
1,1,0,0,0,80,256,10,101589.2
4,1,0,0,1,100,4,6,23352.2
5,0,1,1,0,40,32,4,9218.6
5,0,1,1,0,40,16,2,9193.8
4,0,1,1,1,50,4096,4,43489.4
3,1,0,0,1,60,1,2,14290.0
3,0,0,0,0,10,256,0,12430.0
3,0,1,0,0,20,4096,4,12147.6
1,0,1,0,1,40,256,0,17897.6
1,1,0,1,1,50,64,10,102901.4
5,0,0,1,1,60,8,10,299256.2
5,0,1,1,0,30,512,4,9196.4
2,1,1,0,0,0,32,10,85389.2
5,1,0,0,0,10,8,10,299328.2
5,0,1,1,1,100,512,2,9195.6
4,1,0,1,1,30,4096,4,43458.8
4,1,0,0,1,30,32,0,9014.6
1,1,0,1,0,40,32,6,91886.4
2,1,1,1,1,90,1,2,17632.8
3,0,1,0,0,10,8,0,12518.6
3,1,1,0,0,40,256,8,38061.4
2,0,0,0,1,10,512,2,5825.2
1,0,1,1,1,80,2,0,17633.8
4,0,1,0,1,70,16,8,41850.6
4,0,1,0,0,0,4,2,11880.4
2,0,1,0,1,100,2048,4,4364.4
2,1,1,1,1,40,4096,8,103085.2
4,1,1,1,0,70,2,6,48840.6
2,0,0,1,1,90,2,6,107273.2
3,0,1,0,1,20,2,6,15589.0
1,1,0,0,0,10,1024,2,17719.2
3,1,0,0,0,70,512,8,38044.0
5,1,0,1,0,30,64,2,9160.6
3,1,0,1,1,20,512,0,12124.6
1,0,1,1,0,70,64,10,102763.8
4,0,1,1,0,60,256,6,49157.6
4,0,0,0,1,80,2,10,180652.8
1,1,1,1,0,20,4,2,17945.6
3,0,0,1,1,10,16,2,12363.6
1,0,0,1,0,90,16,4,11897.6
4,0,0,0,0,0,2,0,11911.4
3,1,1,1,0,30,8,8,37514.6
2,0,0,0,1,90,4,10,81059.2
5,1,1,0,1,10,8,0,9148.0
3,1,1,1,0,60,256,4,12113.8
4,1,0,0,1,70,4096,8,39312.4
3,0,1,0,0,90,16,10,47745.2
2,0,1,0,0,50,4,6,73141.2
3,0,0,0,0,100,16,10,47729.2
3,1,1,1,1,20,2,6,15685.0
1,1,1,0,1,70,1,4,15253.4
5,0,1,0,0,20,2,8,121138.4
4,1,0,1,0,0,2,10,420682.6
2,1,1,0,1,90,1024,2,4653.0
5,0,1,0,1,100,512,4,9158.8
3,1,1,0,0,20,1024,6,10911.8
5,0,0,0,0,20,512,6,47524.4
5,1,1,0,1,0,2048,8,120710.6
5,1,0,1,0,40,128,6,47668.6
1,1,0,0,0,20,2,2,17822.2
1,1,1,1,0,60,256,2,17775.8
5,1,0,1,0,20,512,8,121703.2
4,1,1,0,1,50,2,6,26327.2
4,1,1,0,1,40,4096,8,41367.8
5,0,1,1,0,90,1,10,299804.0
1,1,1,0,0,40,32,6,88368.0
1,1,1,1,1,40,256,4,11909.0
5,0,0,0,1,20,2048,6,47573.2
2,1,0,1,0,70,32,2,17690.0
3,1,0,1,1,70,1,6,18201.2
5,1,0,0,1,80,4,4,9158.8
1,1,0,0,1,30,8,10,86187.4
3,0,1,1,1,20,8,0,12493.0
1,0,1,0,0,50,2,0,17605.8
4,1,0,0,1,70,4096,10,113818.8
1,0,0,0,0,70,64,2,17703.0
2,0,0,0,1,20,2,10,80573.2
1,0,1,1,1,70,1024,10,102921.8
3,1,0,0,0,30,128,2,12147.6
3,1,0,1,1,90,256,2,12249.4
4,0,0,1,0,70,1024,8,124996.2
2,0,1,1,1,20,512,10,103650.8
3,0,0,1,0,70,1024,2,12204.6
2,0,0,0,1,60,4096,8,101451.4
1,1,1,0,0,0,512,6,82146.6
